,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km
1969-01-01,2.912,2.989,3.17,3.05,2.81,2.582,2.356,1.9480000000000002,1.794,2.6180000000000003,4.75,7.943,7.68,9.465,11.26,11.297,13.204,14.092,13.850999999999999,16.412,17.884,19.547,19.206,17.826,16.711,14.744000000000002,12.69,10.745999999999999,9.127,7.96,7.487,7.525,7.02,6.545,5.567,-9999.0
1969-02-01,2.508,1.944,1.801,1.9969999999999999,2.016,1.8230000000000002,2.131,2.838,4.03,5.5920000000000005,7.562,10.179,10.88,13.97,14.2,16.96,19.22,21.941999999999997,20.965,21.368000000000002,21.454,20.444000000000003,18.91,16.744,15.11,13.501,12.159,10.912,9.952,9.04,7.736000000000001,7.097,6.6160000000000005,5.957000000000001,5.379,4.9
1969-03-01,1.8319999999999999,2.352,3.002,3.077,2.906,2.517,2.097,1.8519999999999999,1.8430000000000002,2.819,6.632000000000001,10.103,10.795,12.602,12.115,11.589,12.710999999999999,14.944,16.042,16.224,17.992,18.604,17.0,15.478,13.929,12.254000000000001,10.469000000000001,9.412,8.024,7.2170000000000005,6.587999999999999,5.974,5.4510000000000005,5.092,4.6419999999999995,4.564
1969-04-01,2.0,3.1639999999999997,3.738,3.569,3.055,2.574,2.121,1.859,1.617,1.599,4.635,8.77,10.995,11.312999999999999,10.651,9.913,11.934000000000001,12.728,14.725,16.949,17.429000000000002,17.051,15.945,14.974,13.547,12.094000000000001,11.027999999999999,10.065,9.232000000000001,8.426,7.763,6.801,6.0329999999999995,5.485,5.011,4.593999999999999
1969-05-01,1.3780000000000001,2.449,3.464,3.617,3.4730000000000003,3.258,2.8569999999999998,2.779,3.667,5.461,7.626,7.9670000000000005,10.995,11.58,9.707,8.578,8.874,9.832,11.28,12.682,14.742,15.998,15.133,14.300999999999998,13.269,11.948,11.435,10.902000000000001,10.335999999999999,9.595,8.805,7.987,7.36,6.7010000000000005,6.185,5.632000000000001
1969-06-01,1.661,2.39,3.583,3.7969999999999997,3.603,3.339,2.984,2.477,2.609,2.8510000000000004,3.735,6.502999999999999,9.76,9.902999999999999,9.307,9.8,10.873,11.53,11.036,11.815999999999999,13.61,14.235999999999999,13.886,13.811,12.895,12.602,11.984000000000002,11.380999999999998,11.035,10.299000000000001,9.57,8.684,7.696000000000001,6.9479999999999995,6.082999999999999,5.642
1969-07-01,1.949,3.318,4.003,3.9539999999999997,3.261,3.2289999999999996,2.818,2.855,3.273,4.224,4.1419999999999995,3.9810000000000003,3.513,4.07,4.319,5.541,6.377999999999999,8.761000000000001,10.702,11.435,12.515999999999998,13.777000000000001,13.812000000000001,13.864,13.495,13.345999999999998,12.686,11.807,10.847000000000001,9.459,8.557,7.53,6.563,5.733,5.043,4.27
1969-08-01,2.1180000000000003,3.415,3.73,3.3560000000000003,3.114,2.91,2.898,2.173,2.051,2.513,2.8789999999999996,3.96,4.8580000000000005,5.301,5.372000000000001,6.42,7.869,9.38,10.884,11.847999999999999,12.648,12.757,13.052999999999999,13.379000000000001,13.414000000000001,12.93,12.642000000000001,11.798,10.552999999999999,9.591000000000001,8.772,7.9,7.101,6.416,5.64,4.856
1969-09-01,-9999.0,3.735,3.701,3.793,3.4819999999999998,3.193,2.807,2.298,2.019,1.706,1.4880000000000002,1.885,2.3609999999999998,2.8569999999999998,4.058,4.57,6.1,8.12,9.453,11.119000000000002,12.71,13.162,12.911,12.717,12.915999999999999,12.738,11.984000000000002,10.92,9.564,8.318,7.361000000000001,6.619,5.733,5.043,4.515,4.024
1969-10-01,-9999.0,2.76,2.383,2.861,2.782,2.398,2.005,1.724,1.48,1.479,1.672,1.744,2.226,2.305,2.485,3.707,5.596,7.806,9.943999999999999,10.963,12.26,12.824000000000002,12.905999999999999,12.757,12.731,11.672,10.773,9.915,8.6,7.516,6.806,6.09,5.308,4.86,4.555,4.072
