,0.0km,0.5km,1.0km,1.5km,2.0km,2.5km,3.0km,3.5km,4.0km,4.5km,5.0km,5.5km,6.0km,6.5km,7.0km,7.5km,8.0km,8.5km,9.0km,9.5km,10.0km,10.5km,11.0km,11.5km,12.0km,12.5km,13.0km,13.5km,14.0km,14.5km,15.0km,15.5km,16.0km,16.5km,17.0km,17.5km,18.0km,18.5km,19.0km,19.5km,20.0km,20.5km,21.0km,21.5km,22.0km,22.5km,23.0km,23.5km,24.0km,24.5km,25.0km,25.5km,26.0km,26.5km,27.0km,27.5km,28.0km,28.5km,29.0km,29.5km,30.0km,30.5km,31.0km,31.5km,32.0km,32.5km,33.0km,33.5km,34.0km,34.5km,35.0km
1969-01-01,26.529,36.969,39.269,34.281,40.101,47.208,45.262,50.333999999999996,48.068000000000005,51.77,52.22,53.016999999999996,56.498999999999995,55.376999999999995,52.001000000000005,54.961999999999996,56.792,58.908,70.512,122.745,154.3,272.342,420.869,401.32099999999997,481.418,437.345,590.885,740.5369999999999,886.985,971.6569999999999,1082.6989999999998,1110.9489999999998,1462.2089999999998,1493.408,1828.2220000000002,1877.7579999999998,1933.295,2347.196,2686.5170000000003,3292.303,3604.0040000000004,3964.295,4612.2429999999995,5134.338,5345.799,5843.055,6016.909000000001,6181.169,6700.109,6645.090999999999,6845.059,7064.87,7020.672,6850.203,6968.8769999999995,6800.773,6884.11,6845.603,6843.279,7161.696999999999,7842.846,7463.024,8581.778,8907.072,9164.258,9591.514000000001,9935.411,10334.53,9981.375,-9999.0,-9999.0
1969-02-01,-9999.0,27.039,23.274,23.236,22.186,27.018,29.354,33.335,35.679,35.624,36.421,38.853,42.603,58.891000000000005,63.978,92.836,102.86200000000001,160.065,183.792,238.701,309.029,364.885,515.347,550.1709999999999,607.494,730.2330000000001,939.1460000000001,1060.983,1095.844,1285.282,1494.405,1822.256,2038.1760000000002,2353.27,2694.184,3156.5609999999997,3134.075,3394.8590000000004,3662.308,4075.215,4431.987,4622.273,4865.163,5192.065,5375.456999999999,5472.8769999999995,5550.485,5653.606,5848.108,5864.448,6029.353,6193.8330000000005,6359.338000000001,6474.594,6581.718000000001,6696.024,6971.79,6976.081,7214.956999999999,7456.628000000001,7173.44,7279.945,7311.328,7978.078,8226.465,7847.8859999999995,8358.988000000001,8481.812,8065.919,9427.091999999999,9854.027
1969-03-01,17.805,20.826999999999998,23.430999999999997,32.275999999999996,38.164,43.456,45.867,49.223,50.50899999999999,51.456,51.365,50.336000000000006,49.245,48.192,47.361999999999995,51.988,53.247,62.162,78.734,131.90200000000002,242.46200000000002,338.48699999999997,463.401,542.759,616.626,641.305,788.455,930.482,947.1569999999999,976.638,1020.4760000000001,1132.243,1261.067,1495.714,1892.989,1892.674,2294.935,2444.72,2698.196,2909.961,3332.675,3900.3179999999998,4261.097,4505.392,4611.75,4736.943,4891.563,5105.472,5162.3859999999995,5251.75,5366.156999999999,5370.633000000001,5355.983,5368.576,5578.996,5564.283,5566.455,5609.396,5775.045,5874.895,6121.233,6177.478,6356.098000000001,6599.597,6715.289000000001,6921.418000000001,7164.838000000001,7388.448,7421.590999999999,7776.835999999999,8325.233
1969-04-01,17.764,23.746,33.364000000000004,41.64,48.583999999999996,51.723,53.863,54.93899999999999,52.769,53.67100000000001,52.753,49.856,48.111000000000004,49.068000000000005,49.643,48.092,47.07899999999999,52.218999999999994,51.865,63.336999999999996,148.259,243.13,382.64300000000003,479.14300000000003,606.906,646.804,750.683,753.303,817.737,833.7669999999999,862.705,933.329,1148.393,1389.967,1458.306,1681.249,1904.987,2370.383,2726.5229999999997,2938.2729999999997,3274.317,3539.841,3754.3309999999997,3963.789,4124.179,4297.348,4542.481,4671.439,4801.359,4871.726,4948.041,5125.045999999999,5261.376,5433.840999999999,5530.206999999999,5786.664000000001,5945.491999999999,6089.746999999999,6267.98,6447.603,6701.025,6846.435,6843.151999999999,6903.726,6876.08,7108.130999999999,7151.969,7574.03,7699.86,7682.346,7851.116
1969-05-01,14.232000000000001,14.788,23.325,33.937,42.475,50.255,54.088,56.059,58.078,62.278,63.581,65.413,64.23100000000001,65.342,67.24600000000001,78.82300000000001,101.898,124.40799999999999,171.81900000000002,216.62400000000002,287.091,344.14,334.457,434.251,572.7090000000001,658.137,729.035,771.372,724.487,732.255,719.404,784.387,800.768,1014.845,1081.215,1245.5639999999999,1437.5620000000001,1681.05,1875.045,2207.895,2553.445,2991.808,3346.812,3614.119,3764.187,3894.164,4094.929,4320.346,4482.668,4562.509,4588.726,4879.992,5148.728,5342.153,5629.319,5978.003000000001,6212.63,6546.052,6731.368,6977.276999999999,7065.8330000000005,7456.6269999999995,7534.299,7607.076999999999,7894.884,8136.263000000001,8232.185,8434.937,8587.487,8988.046999999999,8849.284
1969-06-01,14.92,19.663,22.225,33.981,43.66,51.516999999999996,56.729,58.111000000000004,61.05,62.83,64.529,65.845,67.918,65.256,62.433,64.987,72.885,82.775,86.426,110.86,135.241,169.09799999999998,235.91400000000002,379.72,496.69800000000004,574.057,622.953,641.635,655.862,728.3660000000001,779.555,910.6310000000001,1033.193,1156.9489999999998,1294.626,1411.874,1460.944,1554.5339999999999,1755.055,1994.7979999999998,2352.674,2694.868,3032.6620000000003,3053.954,3332.592,3609.864,3923.5229999999997,4113.788,4256.4890000000005,4432.349,4794.795999999999,5073.532,5316.826999999999,5597.879,5813.672,6166.673000000001,6596.984,6814.35,7095.515,7342.034000000001,7603.566,7841.4169999999995,7880.484,8157.121999999999,8047.206,8243.21,8505.052,8301.904,8434.055,8481.726999999999,8794.636999999999
1969-07-01,18.157,22.069000000000003,33.721,44.76,49.376999999999995,56.701,57.793,60.26,55.898999999999994,54.35,59.795,64.529,61.489,62.696999999999996,69.959,74.73899999999999,87.51,105.926,137.826,154.764,158.162,175.333,183.382,187.94400000000002,180.11900000000003,198.735,237.93,270.92,274.16900000000004,360.219,423.12199999999996,516.36,581.212,681.414,911.1210000000001,1120.861,1356.506,1531.44,1716.224,1888.868,2138.581,2471.266,2839.4640000000004,3085.865,3326.2009999999996,3565.697,3884.2329999999997,4193.369000000001,4431.662,4717.603,5081.978,5434.545999999999,5669.513000000001,5942.234,6118.858,6420.26,6671.195,6619.6230000000005,6702.48,6893.253000000001,7100.576,7129.710999999999,7181.566,7184.589,7267.262,7075.859,7205.605,7241.969,7266.388000000001,7370.19,7147.284000000001
1969-08-01,14.06,27.863000000000003,37.501999999999995,42.861000000000004,48.765,50.583999999999996,49.336999999999996,52.047,52.008,54.722,54.933,58.891000000000005,65.439,63.631,56.192,54.911,57.537,63.544,77.273,95.70100000000001,104.573,125.071,155.62,217.41299999999998,248.748,278.775,327.82800000000003,342.17,372.31199999999995,420.19300000000004,505.35400000000004,599.1419999999999,727.443,854.7860000000001,1025.272,1169.103,1395.984,1579.3429999999998,1784.731,2001.7520000000002,2249.083,2452.459,2659.5029999999997,2869.3979999999997,3129.5959999999995,3479.3909999999996,3787.552,4059.8259999999996,4408.951,4786.541,5013.25,5308.21,5686.028,6014.7119999999995,6211.525,6462.246,6515.63,6622.826,6821.023,7093.422,7241.116999999999,7444.951999999999,7597.036,7732.174,7891.929,7958.8009999999995,8141.768,8310.431,8345.828000000001,8365.202,8378.509
1969-09-01,-9999.0,-9999.0,41.003,45.891999999999996,44.548,52.468999999999994,55.117,58.775,57.777,60.537,62.01,61.308,60.071999999999996,63.968,60.9,55.254,59.823,57.608000000000004,58.926,56.355,55.681000000000004,61.188,75.78399999999999,98.53,121.008,133.17600000000002,168.55599999999998,193.14700000000002,263.735,337.17400000000004,361.745,426.619,539.049,697.059,874.61,1055.515,1208.613,1413.5120000000002,1632.0320000000002,1956.134,2284.978,2538.774,2828.795,3002.853,3175.8590000000004,3491.2059999999997,3754.672,3915.599,4355.014,4741.228,5138.06,5355.441999999999,5607.861,5869.148,6101.97,6013.267,6125.293000000001,6239.552,6294.941999999999,6264.14,6365.991,6508.481,6726.985,6689.996,6694.384,6705.137,6710.11,6882.844,6901.932,7083.11,7027.141
1969-10-01,-9999.0,-9999.0,29.604,34.663000000000004,27.008000000000003,35.0,42.88399999999999,43.222,47.086000000000006,47.50899999999999,46.243,46.423,45.662,43.291000000000004,43.68600000000001,44.178999999999995,42.8,44.11,46.736000000000004,54.68600000000001,61.933,72.313,75.373,87.926,105.288,142.502,140.61,154.879,176.90099999999998,193.928,288.211,368.565,501.015,666.51,825.477,1072.809,1292.498,1531.6989999999998,1708.961,1957.922,2260.876,2537.2329999999997,2797.31,3067.0009999999997,3310.748,3627.6020000000003,3850.228,4176.292,4587.367,4788.196,4926.259,5100.63,5342.61,5503.69,5735.276,5943.58,5867.401,5914.5419999999995,5953.201999999999,6051.816,6226.4,6398.229,6485.090999999999,6664.8240000000005,6586.401,6654.847,6874.823,7163.387,7255.609,7863.691999999999,7702.3330000000005
