date,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds,12km_ds,13km_ds,14km_ds,15km_ds,16km_ds,17km_ds,18km_ds,19km_ds,20km_ds,21km_ds,22km_ds,23km_ds,24km_ds,25km_ds,26km_ds,27km_ds,28km_ds,29km_ds,30km_ds,31km_ds,32km_ds,33km_ds,34km_ds,35km_ds
1969-01-01,2.912,2.989,3.17,3.05,2.81,2.582,2.356,1.948,1.794,2.6180000000000003,4.75,7.943,7.68,9.465,11.26,11.297,13.204,14.092,13.851,16.412,17.884,19.547,19.206,17.826,16.711,14.744000000000002,12.69,10.746,9.127,7.96,7.487,7.525,7.02,6.545,5.567,-9999.0,0.46367391304347816,-0.34826086956521696,-0.12506521739130383,-0.0066956521739127695,0.05113043478260915,0.11541304347826076,0.12695652173913086,-0.11426086956521742,-0.29771739130434804,0.10623913043478339,1.2884782608695655,3.1538260869565216,1.6771739130434797,2.607608695652175,3.5865652173913025,2.6977608695652187,3.341456521739131,2.907630434782609,1.2089130434782636,2.270804347826088,2.673978260869566,3.8997391304347815,3.6654347826086955,3.112956521739129,3.1899347826086952,2.6053260869565236,1.8993913043478265,1.4079565217391306,1.1487333333333325,1.123844444444444,1.6377555555555556,2.476,2.6786249999999994,2.7538529411764703,2.2615263157894745,
1969-02-01,2.508,1.944,1.801,1.997,2.016,1.823,2.131,2.838,4.03,5.5920000000000005,7.562,10.179,10.88,13.97,14.2,16.96,19.22,21.942,20.965,21.368,21.454,20.444000000000006,18.91,16.744,15.11,13.501,12.159,10.912,9.952,9.04,7.7360000000000015,7.097,6.6160000000000005,5.957000000000002,5.379,4.9,-0.14529787234042502,-1.6997500000000003,-1.7800624999999999,-1.3296458333333334,-1.013375,-0.8967916666666671,-0.3642500000000002,0.4546874999999999,1.5002291666666667,2.340395833333334,2.7758125000000007,3.614979166666667,2.8137500000000024,4.957895833333334,4.8367499999999986,6.911708333333335,8.1298125,9.087333333333333,6.436916666666665,5.634541666666667,4.897604166666667,3.850187500000004,3.010425531914894,1.867234042553191,1.5615106382978716,1.3218085106382969,1.437851063829788,1.544872340425533,1.8503404255319165,1.9189999999999987,1.519765957446812,1.6871276595744682,1.8814651162790703,1.8834615384615399,1.7047499999999989,1.500142857142857
1969-03-01,1.832,2.352,3.002,3.077,2.906,2.517,2.097,1.852,1.843,2.819,6.6320000000000014,10.103,10.795,12.602,12.115,11.589,12.711,14.944,16.042,16.224,17.992,18.604,17.0,15.478,13.929,12.254,10.469,9.412,8.024,7.217,6.587999999999999,5.974,5.4510000000000005,5.092,4.642,4.564,-1.1203333333333332,-1.4964375000000008,-0.8302500000000008,-0.5029374999999998,-0.34750000000000014,-0.45497916666666605,-0.6048541666666671,-0.7505624999999998,-1.0197499999999997,-0.8090625,1.394729166666668,3.0176041666666666,2.2269791666666663,3.447374999999999,2.6522500000000004,1.779958333333333,1.7172708333333322,2.582208333333334,1.9408750000000001,0.7268333333333334,1.7680000000000007,2.421083333333332,1.4920624999999976,1.066208333333332,0.8222291666666663,0.4526249999999994,-0.07122916666666868,-0.020166666666666444,-0.2967083333333349,-0.1180416666666666,0.11804166666666571,0.292446808510638,0.4778666666666682,0.6892432432432436,0.57775,0.9110000000000005
1969-04-01,2.0,3.164,3.738,3.569,3.055,2.574,2.121,1.859,1.617,1.599,4.635,8.77,10.995,11.313,10.651,9.913,11.934,12.728,14.725,16.949,17.429000000000002,17.051,15.945,14.974,13.547,12.094,11.028,10.065,9.232,8.426,7.763,6.801,6.033,5.485,5.011,4.5939999999999985,-1.3445624999999999,-0.9347708333333329,-0.4117708333333332,-0.3174999999999999,-0.48037499999999955,-0.639979166666667,-0.8366875,-0.9909374999999998,-1.4994166666666664,-2.354125,-0.964812499999999,1.1909791666666658,1.9504583333333336,1.9906875,1.4666250000000005,0.3294583333333332,1.1285416666666652,0.7369583333333338,1.2430208333333326,1.990208333333337,1.7370208333333377,1.4206458333333334,0.8690625000000001,0.8344583333333322,0.5042291666666703,0.15066666666666606,0.13887500000000053,0.15883333333333205,0.2843541666666649,0.3368333333333329,0.4989166666666671,0.28566666666666674,0.20597727272727262,0.3325384615384612,0.40562962962962956,0.4208235294117637
1969-05-01,1.378,2.449,3.464,3.617,3.4730000000000003,3.258,2.857,2.779,3.667,5.461,7.626,7.967,10.995,11.58,9.707,8.578,8.874,9.832,11.28,12.682,14.742,15.998,15.133,14.300999999999998,13.269,11.948,11.435,10.902,10.336,9.595,8.805,7.987,7.36,6.7010000000000005,6.185,5.6320000000000014,-2.2912291666666667,-2.042395833333334,-0.9319166666666665,-0.4678958333333334,-0.29108333333333336,-0.1894791666666662,-0.2848333333333337,-0.18745833333333328,0.6688124999999996,1.9511874999999996,2.7813541666666666,1.181729166666667,2.6325000000000003,2.852291666666666,1.149395833333335,-0.1316041666666674,-0.8384999999999998,-1.0318958333333352,-0.8836458333333344,-0.5815208333333359,0.684333333333333,1.6440624999999986,1.0107499999999998,0.7995624999999986,0.5408958333333338,-0.06077083333333455,0.1541041666666665,0.3268749999999976,0.532583333333335,0.592270833333334,0.6365624999999984,0.6715434782608707,0.9461750000000002,1.0124411764705883,1.2073478260869575,0.9850000000000012
1969-06-01,1.661,2.39,3.583,3.797,3.603,3.339,2.984,2.477,2.609,2.8510000000000004,3.735,6.502999999999999,9.76,9.903,9.307,9.8,10.873,11.53,11.036,11.816,13.61,14.236,13.886,13.811,12.895,12.602,11.984000000000002,11.380999999999998,11.035,10.299,9.57,8.684,7.6960000000000015,6.948,6.082999999999998,5.642,-1.9926250000000003,-1.8318749999999997,-0.6302708333333333,-0.25920833333333304,-0.24710416666666646,-0.24814583333333307,-0.3640833333333333,-0.6143124999999996,-0.43614583333333323,-0.38697916666666643,-0.3332083333333338,0.9727291666666664,2.884624999999999,2.643437500000002,2.2043333333333335,2.3554583333333348,2.549270833333333,2.2615833333333324,0.6876666666666651,0.35812499999999936,0.8611249999999995,0.785124999999999,0.3804791666666656,0.6101875000000003,0.02977083333333219,0.10539583333333447,-0.025812499999998906,0.03772916666666859,0.5378124999999994,0.7466875000000002,0.9751874999999988,1.0193958333333324,0.9545000000000003,1.1256250000000003,0.9578148148148138,1.1189047619047612
1969-07-01,1.949,3.318,4.003,3.954,3.261,3.229,2.818,2.855,3.273,4.224,4.142,3.981,3.513,4.07,4.319,5.541,6.377999999999999,8.761000000000001,10.702,11.435,12.515999999999998,13.777,13.812,13.864,13.495,13.345999999999998,12.686,11.807,10.847,9.459,8.557,7.53,6.563,5.733,5.043,4.27,-1.7836666666666658,-0.8768444444444436,-0.07862222222222215,-0.013133333333332775,-0.5740666666666665,-0.4030666666666676,-0.5550444444444445,-0.2544222222222223,0.34252272727272715,1.0592666666666668,0.4254318181818184,-0.8250000000000002,-2.1784000000000017,-1.623666666666666,-1.3491111111111111,-0.7080222222222226,-0.7855111111111119,0.46277272727272845,1.0596000000000014,0.6278000000000024,0.3562444444444406,0.8524444444444441,0.8035227272727248,0.7358666666666664,0.6655454545454536,0.7305227272727244,0.4883636363636388,0.2809767441860469,0.24663636363636243,-0.14639534883721161,-0.0005348837209293578,-0.01957142857142813,-0.08107317073170694,0.04048571428571357,0.11852380952380948,0.11035714285714171
1969-08-01,2.1180000000000003,3.415,3.73,3.3560000000000003,3.114,2.91,2.898,2.173,2.051,2.513,2.879,3.96,4.8580000000000005,5.301,5.372000000000001,6.42,7.869,9.38,10.884,11.848,12.648,12.757,13.053,13.379,13.414,12.93,12.642,11.798,10.553,9.591,8.772,7.9,7.101,6.416,5.64,4.856,-1.5933191489361702,-0.7766382978723412,-0.23978723404255353,-0.4298297872340422,-0.5074468085106392,-0.5051702127659574,-0.23870212765957444,-0.655553191489362,-0.6109999999999998,-0.17508510638297858,-0.13434042553191494,0.35472340425531845,0.6797446808510639,0.754872340425532,0.5382340425531913,0.8695106382978715,1.1169361702127665,1.332234042553191,1.544255319148938,1.3526382978723444,1.0713829787234044,0.6319787234042558,0.7105319148936182,1.0630425531914902,1.1565957446808497,0.7253043478260874,0.7651521739130445,0.5929782608695664,0.2814999999999994,0.29617391304347684,0.49441304347826076,0.609422222222225,0.8118378378378379,0.8636451612903224,0.7206086956521727,0.5810624999999998
1969-09-01,-9999.0,3.735,3.701,3.793,3.482,3.193,2.807,2.298,2.019,1.706,1.4880000000000002,1.885,2.361,2.857,4.058,4.57,6.1,8.12,9.453,11.119000000000002,12.71,13.162,12.911,12.717,12.916,12.738,11.984000000000002,10.92,9.564,8.318,7.3610000000000015,6.619,5.733,5.043,4.515,4.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-10-01,-9999.0,2.76,2.383,2.861,2.782,2.398,2.005,1.724,1.48,1.479,1.672,1.744,2.226,2.305,2.485,3.707,5.596,7.806,9.944,10.963,12.26,12.824000000000002,12.906,12.757,12.731,11.672,10.773,9.915,8.6,7.516,6.806,6.09,5.308,4.86,4.555,4.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
