date,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds,12km_ds,13km_ds,14km_ds,15km_ds,16km_ds,17km_ds,18km_ds,19km_ds,20km_ds,21km_ds,22km_ds,23km_ds,24km_ds,25km_ds,26km_ds,27km_ds,28km_ds,29km_ds,30km_ds,31km_ds,32km_ds,33km_ds,34km_ds,35km_ds
1969-01-01,2.912,2.989,3.17,3.05,2.81,2.582,2.356,1.948,1.794,2.6180000000000003,4.75,7.943,7.68,9.465,11.26,11.297,13.204,14.092,13.851,16.412,17.884,19.547,19.206,17.826,16.711,14.744000000000002,12.69,10.746,9.127,7.96,7.487,7.525,7.02,6.545,5.567,-9999.0,0.18938405121511587,-0.10435530309939148,-0.037955308663152255,-0.002190487027765045,0.01853311059980475,0.04679058371451482,0.05695560583599927,-0.055405633327711264,-0.14233155613756127,0.042296673907963725,0.3722288513471081,0.6585323782807238,0.2793973852895379,0.38026249048947525,0.4674002345755256,0.3137208802598816,0.3388027164700878,0.25997267148835435,0.09562606614207914,0.160580788476468,0.1758037106541597,0.2492282299721856,0.2358623853981026,0.21157801418439703,0.23592333379959451,0.21463020636521088,0.17602262837249788,0.15077639390059366,0.14398281999431775,0.164397143293664,0.2799943772415051,0.49039413745296095,0.6169992225965274,0.7263904297162894,0.6841761671231136,
1969-02-01,2.508,1.944,1.801,1.997,2.016,1.823,2.131,2.838,4.03,5.5920000000000005,7.562,10.179,10.88,13.97,14.2,16.96,19.22,21.942,20.965,21.368,21.454,20.444000000000006,18.91,16.744,15.11,13.501,12.159,10.912,9.952,9.04,7.7360000000000015,7.097,6.6160000000000005,5.957000000000002,5.379,4.9,-0.05476123651818273,-0.46648370497427105,-0.49707663577499694,-0.3996956393764991,-0.33451619558489787,-0.32972807353504413,-0.14597735697825875,0.190779639682165,0.5930296716599823,0.7197665254970305,0.5799631752830412,0.5507263396101857,0.3488300015496672,0.5501374309088933,0.5165674311804126,0.6878490954100824,0.7330635753453222,0.7069287418317602,0.4430671630233397,0.3581248030338743,0.2958134255769737,0.23202549142941103,0.18934000642329518,0.12551343806134937,0.11525348668847428,0.1085300704724835,0.13411352387605335,0.1649248730849168,0.2283902956578376,0.2694846229462152,0.24448338769796377,0.3118609004813894,0.39739175283051315,0.4623649822494149,0.46397223923249603,0.4412370267658304
1969-03-01,1.832,2.352,3.002,3.077,2.906,2.517,2.097,1.852,1.843,2.819,6.6320000000000014,10.103,10.795,12.602,12.115,11.589,12.711,14.944,16.042,16.224,17.992,18.604,17.0,15.478,13.929,12.254,10.469,9.412,8.024,7.217,6.587999999999999,5.974,5.4510000000000005,5.092,4.642,4.564,-0.3794738624816529,-0.38884287454324007,-0.21664818318220386,-0.14048778784545815,-0.10680805286614418,-0.15308962181486788,-0.22386632636538192,-0.28839365048870097,-0.356213431141385,-0.22300125755826974,0.26630839058192707,0.42589069653248024,0.25991757139557214,0.3765719513360732,0.2802832157670868,0.18146098200214933,0.15620457874659593,0.20888625232992794,0.1376397273267204,0.04690104642784165,0.10897435897435902,0.14960735343340448,0.09621282649610868,0.07398166432001564,0.06273316113649907,0.038353581680100786,-0.006757838519482095,-0.002138073613344383,-0.035659023420482217,-0.016092842008395763,0.018244579112436175,0.05147303891279349,0.09608965507996334,0.1565481086788377,0.14215414898197698,0.24938406788940612
1969-04-01,2.0,3.164,3.738,3.569,3.055,2.574,2.121,1.859,1.617,1.599,4.635,8.77,10.995,11.313,10.651,9.913,11.934,12.728,14.725,16.949,17.429000000000002,17.051,15.945,14.974,13.547,12.094,11.028,10.065,9.232,8.426,7.763,6.801,6.033,5.485,5.011,4.5939999999999985,-0.4020144637751574,-0.22806125820240816,-0.0992273669730758,-0.08169304001029201,-0.1358766750344729,-0.19912362012303034,-0.282885700399383,-0.34770499353055984,-0.4811348503890686,-0.5955098814229248,-0.1722937151913567,0.15714156127248174,0.2156503231691306,0.2135400953357871,0.15968696835658394,0.034377513532314496,0.10444181374382532,0.06145907535139084,0.0921986911540868,0.13304606265546207,0.11069482153170107,0.09089018829547743,0.05764566880169144,0.05901593934268252,0.03865966619439597,0.012615126988557024,0.012753549986798804,0.01603378367010435,0.03177977447512943,0.04164005356958889,0.06868267388635875,0.04384528803847335,0.03534863040146026,0.06453972709086016,0.0880775262374844,0.10084009923319778
1969-05-01,1.378,2.449,3.464,3.617,3.4730000000000003,3.258,2.857,2.779,3.667,5.461,7.626,7.967,10.995,11.58,9.707,8.578,8.874,9.832,11.28,12.682,14.742,15.998,15.133,14.300999999999998,13.269,11.948,11.435,10.902,10.336,9.595,8.805,7.987,7.36,6.7010000000000005,6.185,5.6320000000000014,-0.6244442804176628,-0.4547352113068043,-0.21199598111884133,-0.11454290450082878,-0.07733179835728043,-0.05496165676611521,-0.09065832051350071,-0.06319263993257952,0.22307227283150222,0.5559235714158518,0.5741088744877291,0.17416094297390494,0.31479820627802696,0.3268087747356359,0.13431280659257747,-0.015110235109230557,-0.0863320463320463,-0.09498395871646735,-0.07264646187837742,-0.04384362498016979,0.048680435349631256,0.11453738738934864,0.07157145638973958,0.059220545960383744,0.042496182169051794,-0.005060537350304826,0.013660632005067548,0.03090980012056572,0.0543262978043371,0.06578792079253752,0.07792953058647976,0.09179789070788193,0.14752117496189873,0.1779785017398183,0.2425536746851146,0.2119647084140308
1969-06-01,1.661,2.39,3.583,3.797,3.603,3.339,2.984,2.477,2.609,2.8510000000000004,3.735,6.502999999999999,9.76,9.903,9.307,9.8,10.873,11.53,11.036,11.816,13.61,14.236,13.886,13.811,12.895,12.602,11.984000000000002,11.380999999999998,11.035,10.299,9.57,8.684,7.6960000000000015,6.948,6.082999999999998,5.642,-0.545383010024291,-0.43390081421169496,-0.14959181554314988,-0.06390409762812144,-0.06418116392954731,-0.06917639952840866,-0.10874380864673817,-0.19872222559188038,-0.14322658329171425,-0.1195125560566968,-0.08190542519741502,0.17589177745212897,0.41955893314910075,0.36413179168854903,0.3103529190914211,0.3164007186473313,0.3062654709552759,0.24400967443198665,0.0664519246255434,0.03125579568637285,0.06754517555470577,0.05836980865557065,0.028172120969048073,0.04622348056227602,0.002314053869360316,0.008433957891894056,-0.002149284179082638,0.00332612764175547,0.05123396147777672,0.07816824460045672,0.11346233556578443,0.13300045392646379,0.14158570051175556,0.19332746516670607,0.18688394276629552,0.24737590145812474
1969-07-01,1.949,3.318,4.003,3.954,3.261,3.229,2.818,2.855,3.273,4.224,4.142,3.981,3.513,4.07,4.319,5.541,6.377999999999999,8.761000000000001,10.702,11.435,12.515999999999998,13.777,13.812,13.864,13.495,13.345999999999998,12.686,11.807,10.847,9.459,8.557,7.53,6.563,5.733,5.043,4.27,-0.47785318806929794,-0.20902907272419038,-0.01926249367081714,-0.003310534895054223,-0.14968883635225808,-0.11097446816321309,-0.16455295908081718,-0.0818229896229382,0.11688291544194626,0.33470961218428097,0.1144689932672493,-0.17166042446941326,-0.3827529254664935,-0.2851706574556524,-0.23801776017877796,-0.11330128091150264,-0.10965448352452875,0.05576766122008548,0.10988965402804297,0.05809090236138893,0.029297007067027706,0.06595541647681843,0.06176916101912544,0.056052650287931244,0.051876364048638,0.057906864043265525,0.04003756316424961,0.024377596500537745,0.023266783300744286,-0.015240949853764596,-6.250441607277249e-05,-0.0025923893503887996,-0.01220232960239636,0.007112097089912441,0.024068307966039405,0.026530437022408922
1969-08-01,2.1180000000000003,3.415,3.73,3.3560000000000003,3.114,2.91,2.898,2.173,2.051,2.513,2.879,3.96,4.8580000000000005,5.301,5.372000000000001,6.42,7.869,9.38,10.884,11.848,12.648,12.757,13.053,13.379,13.414,12.93,12.642,11.798,10.553,9.591,8.772,7.9,7.101,6.416,5.64,4.856,-0.4293134287286736,-0.18528275645027856,-0.06040304427055427,-0.11353647981835953,-0.14012267343485638,-0.14791948315712744,-0.07609971171782261,-0.23176272359374772,-0.22952667167543192,-0.06513376602817789,-0.04458189469522056,0.09839006656909473,0.1626862479503814,0.16604732575771758,0.1113488007676495,0.15665477071218545,0.16542144718557297,0.16554085315073552,0.16534234841719694,0.12887962666385597,0.09254715576703591,0.05212186510749711,0.05756805770079445,0.08631424375917776,0.09435894587379219,0.05942830272026452,0.06442384251420841,0.05292075951970304,0.027405929026919084,0.03186438458048174,0.05972912710856187,0.08359038759311907,0.12908521308643356,0.15554574345090424,0.14648330475668578,0.1359230398105235
1969-09-01,-9999.0,3.735,3.701,3.793,3.482,3.193,2.807,2.298,2.019,1.706,1.4880000000000002,1.885,2.361,2.857,4.058,4.57,6.1,8.12,9.453,11.119000000000002,12.71,13.162,12.911,12.717,12.916,12.738,11.984000000000002,10.92,9.564,8.318,7.3610000000000015,6.619,5.733,5.043,4.515,4.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-10-01,-9999.0,2.76,2.383,2.861,2.782,2.398,2.005,1.724,1.48,1.479,1.672,1.744,2.226,2.305,2.485,3.707,5.596,7.806,9.944,10.963,12.26,12.824000000000002,12.906,12.757,12.731,11.672,10.773,9.915,8.6,7.516,6.806,6.09,5.308,4.86,4.555,4.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
