date,925hPa,850hPa,700hPa,500hPa,400hPa,300hPa,250hPa,200hPa,150hPa,100hPa,50hPa,30hPa,20hPa,10hPa,925hPa_ds,850hPa_ds,700hPa_ds,500hPa_ds,400hPa_ds,300hPa_ds,250hPa_ds,200hPa_ds,150hPa_ds,100hPa_ds,50hPa_ds,30hPa_ds,20hPa_ds,10hPa_ds
1969-01-01,2.805,2.901,3.245,2.628,2.208,1.7280000000000002,3.036,8.019,7.542999999999998,11.469,17.987000000000005,18.256,14.489,6.317,-0.030352674176554822,-0.13502336706054727,0.015725474452058005,0.061594393803677636,0.06029731084015348,-0.1641200904358798,0.06401328721410399,0.6763266363400882,0.13551440100271897,0.27808113647265176,0.19271858165720343,0.2312961675947838,0.23129759428332825,0.06832010411803005
1969-02-01,2.307,1.997,1.893,1.7280000000000002,2.1830000000000003,4.1110000000000015,6.64,10.122,13.097,18.342,21.779,16.094,12.592,6.893,-0.2574133930607155,-0.45577798721428003,-0.4569350394759648,-0.36157635467980287,-0.08288550072645157,0.6048798340856414,0.7563427160711531,0.5617207162901036,0.48258133896818123,0.7722845024548632,0.31538702545860864,0.0679480923079902,0.10785726854434435,0.0994030792828805
1969-03-01,1.634,2.1,3.08,2.518,1.891,1.926,4.746,10.481,12.630999999999998,11.97,17.826,15.114,10.907,6.204,-0.500175249651094,-0.45728545815767796,-0.1741197369964639,-0.14817320703653591,-0.26285783895724196,-0.3372048006194348,0.09526236333740407,0.4438172097014433,0.38608311176445026,0.16630906297005277,0.09775726761528307,0.05219708100127206,-0.005174258302470862,-0.012910731983811163
1969-04-01,2.321,2.826,3.65,2.607,1.97,1.497,3.299,9.976,11.442,11.224,17.434,14.324000000000002,10.724,6.893,-0.3441611575842844,-0.3170201196302339,-0.0967489147582566,-0.18223523414933784,-0.29805807945840007,-0.5293439530496751,-0.3061371145133163,0.2562056318962396,0.2315696000430545,0.09963525922720683,0.10637183936539421,0.03443855674011764,-0.026679927845071193,-0.00459398720181942
1969-05-01,1.382,2.552,3.556,3.202,2.574,4.135,7.252999999999999,9.007,11.205,8.589,15.681,13.557,11.191,7.682,-0.6478177078632597,-0.4373871867062881,-0.15938774304119138,-0.061048696002785945,-0.12868214867523758,0.3522923153441028,0.6761303181886023,0.21769353180582757,0.28894960097778416,-0.08452762147542502,0.1035785133781887,0.029779180210090614,0.00014708921612615282,0.0057140363461806315
1969-06-01,1.809,2.087,3.72,3.323,2.517,2.638,3.378,8.259,9.62,10.992,14.396,12.939,12.304,8.048,-0.533354471535977,-0.5135009130113835,-0.10065275203481351,-0.06482176360225139,-0.18750210158913766,-0.117258302891721,-0.11159327383007064,0.31787295719585656,0.33522636910149217,0.33420996732852554,0.0907885473264151,-0.0010808306955915675,0.04457638899943231,0.0640664380448706
1969-07-01,2.164,3.556,4.041,2.878,2.7230000000000003,3.791,4.276,3.819,4.012,6.405,13.525,13.552,12.112,7.114,-0.44997345322684495,-0.15630190071969,0.00870891693246459,-0.2000765890687633,-0.1280695637323618,0.28454286703914,0.19287326109058422,-0.29875423856759875,-0.28704566635601125,-0.1134757226606954,0.06787369218919172,0.04426266843153397,0.00425626001879407,-0.04824055465042975
1969-08-01,2.585,3.387,3.355,2.903,2.234,2.206,2.802,4.76,5.274,7.941,12.694,13.461,12.308,7.638,-0.3535643216668618,-0.19202834186871567,-0.12547834285397377,-0.13583679570328333,-0.219125105977897,-0.14239393864198446,-0.04327611132501765,0.22949423228054394,0.14157947093066106,0.17525899801618564,0.0639453598687496,0.09487508739382934,0.057785400540693,0.0587331290284671
1969-09-01,3.322,3.344,3.942,3.059,2.401,1.7519999999999998,1.527,2.195,2.891,5.988,12.970999999999998,12.84,11.813,6.725,-0.01283600023255949,-0.11153210807813602,0.10444379476684719,0.029725141234669093,-0.022091180350802927,-0.19028242457123934,-0.35602108640843466,-0.27378520670905365,-0.2163234037537938,-0.04807851810893023,0.1120956378465826,0.07100697938822893,0.09942398387883225,0.004383116883116767
1969-10-01,2.643,2.938,2.777,2.312,1.79,1.396,1.644,1.841,2.496,4.963,12.42,12.845999999999998,10.764,6.46,-0.1453487172077855,-0.1904532983139085,-0.19141225157357397,-0.13717643322216935,-0.20277082859525428,-0.28269377938121776,-0.2371756900841132,-0.33671388710023614,-0.30283058673909025,-0.18057429109406156,0.0686061475882497,0.05745431362727193,0.019388014169249297,0.030397437072180487
