,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1969-01-01,-9999.0,5.005,6.053,6.7989999999999995,6.551,7.223,8.433,9.693999999999999,12.017000000000001,13.82,15.635,16.965999999999998,18.683,19.205,19.259,18.046,16.586,15.657,14.270999999999999,12.185,10.152999999999999,8.222000000000001,8.283999999999999,7.779,3.906,2.045,1.776,1.9240000000000002,2.356,2.428,2.884,3.14,3.532,2.387,2.134,2.917
1969-02-01,5.257000000000001,6.002000000000001,6.479,7.643,8.743,9.956,11.422,12.883,14.050999999999998,15.017999999999999,17.281,18.396,19.511,21.818,22.211,21.136,20.64,19.185,17.137999999999998,15.029000000000002,13.220999999999998,11.533,8.73,6.917999999999999,4.381,2.012,1.722,1.505,1.653,1.6869999999999998,1.8969999999999998,2.0069999999999997,1.973,2.214,-9999.0,-9999.0
1969-03-01,4.784,5.204,5.353,5.9670000000000005,6.519,7.247999999999999,8.15,9.389,10.485999999999999,12.020999999999999,13.870999999999999,15.003,16.567999999999998,17.692,17.018,17.134,16.137999999999998,14.315999999999999,13.247,12.787,13.237,12.105,12.956,10.318,5.518,2.103,1.758,1.881,2.162,2.594,2.866,2.9419999999999997,2.6519999999999997,2.2319999999999998,2.181,1.7469999999999999
1969-04-01,4.919,5.353,5.528,6.523,7.138,7.978,8.843,9.835,10.540999999999999,11.437999999999999,12.799000000000001,14.27,15.305,16.643,17.897000000000002,17.51,15.144,13.311,11.845,11.054,11.662,11.79,12.001,11.187999999999999,5.72,1.9080000000000001,1.526,1.6880000000000002,1.886,2.256,2.674,3.178,3.449,3.185,2.728,3.57
1969-05-01,5.9239999999999995,6.76,7.329,8.124,8.741,9.582,10.298,10.902999999999999,11.258,12.196,13.311,13.952,14.59,14.974,13.835999999999999,13.436,12.502,11.337,10.191,9.732000000000001,10.478,10.831,11.674000000000001,10.248,7.129,2.722,2.293,2.392,2.835,3.155,3.373,3.435,3.0980000000000003,2.622,2.9210000000000003,3.2680000000000002
1969-06-01,5.843999999999999,6.234,6.986000000000001,7.973,8.841000000000001,9.609,10.39,11.127,11.453,11.937000000000001,12.535,12.894,13.468,13.737,14.304,13.977,12.399000000000001,11.218,11.577,10.67,10.544,10.052999999999999,10.055,10.574000000000002,6.836,2.681,2.238,2.24,2.5810000000000004,2.821,3.313,3.427,3.6630000000000003,3.5260000000000002,2.755,2.061
1969-07-01,4.013999999999999,4.708,5.506,6.472,7.087000000000001,7.885,9.033,9.92,10.704,11.966,12.607000000000001,13.344000000000001,13.413,13.046,13.754000000000001,13.287,12.707,11.277999999999999,10.565999999999999,9.97,7.9239999999999995,6.797000000000001,6.257000000000001,5.149,4.0680000000000005,2.225,2.097,2.275,2.292,2.565,2.67,2.6489999999999996,2.793,3.5,4.055,4.12
1969-08-01,4.47,5.15,6.239,7.037999999999999,7.664,8.654,9.859,10.856,11.469000000000001,11.923,12.392999999999999,12.934000000000001,13.402999999999999,13.365,13.175999999999998,12.73,12.175999999999998,10.995999999999999,8.988,7.732,6.774,5.749,5.612,5.9510000000000005,4.297,2.105,1.699,1.835,2.131,2.451,2.9019999999999997,3.07,3.26,3.216,3.878,3.556
1969-09-01,3.645,4.218,4.544,5.181,5.872999999999999,6.622999999999999,7.457999999999999,8.669,9.972000000000001,11.241,12.085999999999999,12.772,12.804,12.609000000000002,12.687999999999999,13.177,12.453,10.843,9.713,7.898,5.8020000000000005,4.581,3.5260000000000002,2.707,2.218,1.7180000000000002,1.5,1.703,1.9509999999999998,2.536,2.826,3.188,3.609,3.905,3.513,2.6689999999999996
1969-10-01,3.5639999999999996,3.878,4.402,4.734,5.351,5.8389999999999995,6.422000000000001,7.287999999999999,8.244,9.241,10.221,11.206,11.993,12.522,12.992,12.842,12.360999999999999,11.870999999999999,10.547,8.365,6.8020000000000005,4.611000000000001,3.324,2.873,2.2769999999999997,1.556,1.406,1.409,1.429,1.756,2.039,2.255,2.539,2.7439999999999998,2.78,2.483
