,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km,12km,13km,14km,15km,16km,17km,18km,19km,20km,21km,22km,23km,24km,25km,26km,27km,28km,29km,30km,31km,32km,33km,34km,35km
1992-11-01,2.477,3.5639999999999996,3.614,3.398,3.2710000000000004,2.975,2.783,3.931,2.6439999999999997,3.466,5.601,6.212999999999999,8.154,8.118,4.816,8.521,10.764000000000001,8.538,10.039,10.540999999999999,11.902999999999999,11.689,10.737,11.100999999999999,12.745999999999999,11.144,10.219,9.377,8.764,7.375,6.202999999999999,5.431,4.664,4.178999999999999,-9999.0,-9999.0
1992-12-01,2.011,3.255,3.51,3.2910000000000004,3.055,2.546,2.251,1.959,2.101,2.2230000000000003,2.398,2.977,4.239,5.971,6.195,4.729,6.914,9.044,10.929,11.491,12.097999999999999,12.515,13.56,12.857000000000001,12.052999999999999,10.77,10.255999999999998,9.182,7.999,6.251,5.2829999999999995,4.586,4.285,-9999.0,-9999.0,-9999.0
1993-01-01,2.0269999999999997,3.2689999999999997,3.2710000000000004,2.935,2.628,2.379,2.12,1.945,1.744,1.51,1.432,1.85,3.063,3.138,3.214,5.272,5.736000000000001,7.808,9.09,9.855,12.652999999999999,12.917,13.194,13.443,12.837,12.219000000000001,10.931,9.359,7.949,6.667999999999999,5.635,4.837,4.348,3.6660000000000004,-9999.0,-9999.0
1993-02-01,1.8419999999999999,3.5810000000000004,3.572,3.511,3.284,3.0239999999999996,2.575,2.3080000000000003,2.123,1.6980000000000002,1.546,1.851,3.693,3.4010000000000002,4.489,7.252999999999999,7.796,10.017000000000001,12.043,12.094000000000001,12.592,14.155999999999999,14.663,14.229000000000001,13.561,12.163,10.181000000000001,8.873,7.416,6.558,5.941,5.428999999999999,4.962,4.368,4.163,-9999.0
1993-03-01,2.661,3.697,3.784,3.637,3.2760000000000002,3.0210000000000004,2.719,2.379,2.528,3.512,4.913,5.591,6.193,5.694,6.24,6.704,8.187000000000001,10.341,11.574000000000002,13.032,15.26,15.715,15.735,15.37,13.895999999999999,12.802,12.225,11.492,10.049,8.627,7.622000000000001,6.776,5.765,4.928999999999999,4.77,-9999.0
1993-04-01,3.7119999999999997,4.428999999999999,4.412,3.992,3.825,3.12,2.521,2.042,2.016,3.8819999999999997,5.768,7.138,7.152,7.316,6.965,9.061,8.238,8.6,11.325999999999999,14.716,14.508,15.06,14.467,13.617,11.915,10.398,9.277999999999999,8.512,7.46,6.506,5.531000000000001,4.526,3.8160000000000003,4.177,3.7030000000000003,-9999.0
1993-05-01,3.965,5.172000000000001,4.81,4.006,3.505,3.391,2.9930000000000003,2.568,2.313,2.379,2.763,4.266,5.796,5.841,6.255,6.502000000000001,7.1370000000000005,8.734,11.495999999999999,12.505999999999998,13.501,14.597000000000001,14.985,14.477,13.81,13.275,12.116,10.668,9.399,8.496,7.037999999999999,6.234,5.317,4.18,2.7569999999999997,-9999.0
1993-06-01,5.153,5.313,4.405,4.29,3.7230000000000003,3.2969999999999997,3.091,3.111,2.7289999999999996,2.3680000000000003,2.3409999999999997,2.835,4.535,5.617000000000001,5.235,6.629,7.476,9.481,11.099,12.261,12.706,14.054,14.408,14.36,14.349,13.66,12.644,11.789000000000001,10.751,10.011000000000001,9.155,8.029,7.107,6.381,5.695,4.988
1993-07-01,2.008,2.589,3.222,3.179,3.13,2.88,2.767,2.963,2.665,3.025,4.321000000000001,4.953,3.858,5.997999999999999,5.8229999999999995,6.232,7.765,9.136000000000001,10.944,11.895,12.29,13.220999999999998,13.456,14.286,13.895999999999999,13.057,12.535,11.644,10.935,9.93,8.77,7.751,6.885,6.1129999999999995,-9999.0,-9999.0
1993-08-01,2.379,2.948,2.958,3.221,3.0069999999999997,2.637,2.77,2.097,2.924,4.064,4.461,3.984,4.6160000000000005,5.121,4.6160000000000005,4.9239999999999995,5.747999999999999,8.308,10.304,11.324000000000002,12.504000000000001,13.329,14.199000000000002,15.022,13.897,13.482000000000001,13.012,12.019,10.720999999999998,9.845,8.586,7.45,5.5520000000000005,4.782,-9999.0,-9999.0
