,0.0km,0.5km,1.0km,1.5km,2.0km,2.5km,3.0km,3.5km,4.0km,4.5km,5.0km,5.5km,6.0km,6.5km,7.0km,7.5km,8.0km,8.5km,9.0km,9.5km,10.0km,10.5km,11.0km,11.5km,12.0km,12.5km,13.0km,13.5km,14.0km,14.5km,15.0km,15.5km,16.0km,16.5km,17.0km,17.5km,18.0km,18.5km,19.0km,19.5km,20.0km,20.5km,21.0km,21.5km,22.0km,22.5km,23.0km,23.5km,24.0km,24.5km,25.0km,25.5km,26.0km,26.5km,27.0km,27.5km,28.0km,28.5km,29.0km,29.5km,30.0km,30.5km,31.0km,31.5km,32.0km,32.5km,33.0km,33.5km,34.0km,34.5km,35.0km
1992-11-01,19.986,30.443,40.33,44.423,47.141999999999996,50.34,50.978,53.57899999999999,56.88,57.981,58.64,61.976000000000006,57.044,73.524,110.23899999999999,99.721,82.521,84.163,106.465,146.453,207.544,271.154,280.693,344.791,413.39,539.33,624.932,457.135,388.75699999999995,375.662,622.262,999.325,1141.3239999999998,1195.462,1074.836,1117.907,1384.415,1624.515,1724.0220000000002,1994.471,2340.278,2586.472,2778.698,2842.563,2934.6079999999997,3175.474,3440.258,4070.6409999999996,4826.319,-9999.0,5316.7919999999995,5032.68,5457.425,5596.630999999999,5878.493,6200.135,6403.829000000001,6827.696999999999,6723.156999999999,6431.014,6380.758000000001,6515.979,6631.71,6578.7480000000005,6613.352,6745.64,6812.056,-9999.0,-9999.0,-9999.0,-9999.0
1992-12-01,10.624,28.635,36.580999999999996,40.691,45.869,48.49100000000001,49.607,50.873999999999995,52.407,53.8,51.345,49.87,51.566,51.472,52.861999999999995,50.593,52.216,77.275,77.632,83.064,92.897,112.046,140.311,153.94,212.44299999999998,270.612,348.13300000000004,445.337,467.681,493.566,386.968,495.20599999999996,707.387,806.28,994.7819999999999,1332.6570000000002,1524.991,1759.74,1894.4389999999999,2171.826,2393.633,2688.8509999999997,2972.198,3215.212,3788.014,4120.986,4274.018,4617.029,4836.155,4956.553,5068.305,5287.394,5683.14,5909.96,6022.124,6274.079000000001,6434.945,6092.755999999999,5790.745,5767.215,5725.706,5715.061,5885.04,5914.384,6091.39,6182.389,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1993-01-01,11.129000000000001,28.072,36.562,41.047,43.053999999999995,44.685,44.69,44.61600000000001,45.549,45.736999999999995,46.652,47.76,47.368,49.068000000000005,50.049,51.961000000000006,54.415,51.123999999999995,52.56,54.153999999999996,57.191,61.528999999999996,76.399,106.086,168.517,184.986,193.15200000000002,232.673,242.49599999999998,267.632,473.273,505.44199999999995,532.285,726.33,935.309,1095.505,1365.999,1408.733,1578.214,1984.247,2471.603,2888.7509999999997,3120.672,3315.5429999999997,3686.552,4057.845,4449.425,4837.675,5045.42,5440.861999999999,5773.826999999999,5931.132,6136.119000000001,6241.092,6218.33,6220.399,6225.11,6261.04,6095.023,6190.126,6217.536999999999,5972.981,5930.695,6246.135,6309.996,6447.772,6290.111,6171.0869999999995,-9999.0,-9999.0,-9999.0
1993-02-01,7.051,26.526999999999997,39.944,44.25899999999999,46.655,48.504,51.294,55.122,56.869,56.016000000000005,57.07899999999999,61.951,60.854,56.243,56.797,64.89,70.021,55.699,58.841,58.979,55.261,71.437,76.732,101.346,181.97299999999998,240.178,217.882,237.146,291.436,417.725,600.6519999999999,731.8889999999999,913.5039999999999,761.045,1058.4489999999998,1518.6429999999998,1765.3470000000002,1868.497,2077.3179999999998,2204.167,2549.609,2697.138,3227.196,3716.518,4128.954000000001,4360.968,4701.952,5012.057,5284.286999999999,5637.858,5829.156,5756.609,5653.053000000001,5724.933000000001,5850.7609999999995,5785.399,5692.5869999999995,5789.723000000001,5912.159000000001,6012.598000000001,6197.664000000001,6426.4890000000005,6699.416,6820.6630000000005,7051.531999999999,7239.389,7304.781,7389.901999999999,7997.920999999999,8296.413,-9999.0
1993-03-01,22.363000000000003,31.66,41.683,45.522,49.345,51.839,54.327,56.315,56.501999999999995,57.20399999999999,59.727,60.315,60.608000000000004,63.809,62.232,63.42100000000001,72.04899999999999,83.65299999999999,111.60600000000001,141.808,188.32299999999998,227.808,257.964,293.927,359.79400000000004,348.92199999999997,326.613,442.73199999999997,483.561,496.977,590.122,643.455,776.701,984.6610000000001,1204.6660000000002,1393.45,1577.8770000000002,1823.969,2046.612,2427.578,2866.397,3276.1279999999997,3583.605,3799.2259999999997,4148.593,4509.26,4874.912,5011.965999999999,5209.056,5240.962,5469.834,5782.243,6114.683000000001,6421.195,6710.267,7095.916,7073.77,6804.955,6959.791,7038.691999999999,7105.986,7427.802,7512.448,7462.638000000001,7481.391,7355.312,7259.124,7344.178000000001,7873.446,-9999.0,-9999.0
1993-04-01,34.705,42.006,49.17100000000001,55.702,57.472,60.733000000000004,59.255,62.471000000000004,67.487,65.375,64.165,60.28,57.882,57.32899999999999,55.31,52.8,53.806000000000004,71.096,122.26,160.639,224.935,265.433,320.744,386.20300000000003,397.87699999999995,427.279,474.083,512.523,493.108,614.3340000000001,820.449,865.321,856.409,928.7139999999999,1053.754,1130.399,1415.146,1966.0610000000001,2488.008,2658.8320000000003,2866.927,3104.31,3539.153,3722.296,3951.844,4217.891,4487.85,4530.383,4600.748,4633.6359999999995,4734.728,4727.41,4845.778,5024.74,5170.781,5436.1759999999995,5495.633000000001,5345.066,5446.53,5397.215,5297.566999999999,5429.693,5100.939,5121.968,4937.073,5019.107,6437.514,6403.585,6640.977,6472.635,-9999.0
1993-05-01,37.472,44.196000000000005,57.205,64.447,63.735,64.34899999999999,61.924,58.84,59.052,61.581,65.529,67.804,67.11,67.533,66.582,66.146,66.95100000000001,71.77,76.345,89.64299999999999,103.491,122.346,171.986,237.123,302.191,348.027,373.015,391.07,456.99199999999996,500.61400000000003,534.619,631.592,716.51,772.553,936.3439999999999,1212.121,1482.499,1822.156,2028.8870000000002,2159.226,2483.705,2817.915,3154.907,3528.401,3865.33,4121.831,4387.8859999999995,4621.751,4872.181,5158.958,5501.305,5755.013000000001,5922.015,6053.231,6106.25,6191.919,6222.6669999999995,6330.306,6513.678000000001,6653.9169999999995,6255.826999999999,6482.094,6493.031999999999,6560.977,6584.326,6364.664000000001,6164.138000000001,5559.137,4212.615,-9999.0,-9999.0
1993-06-01,47.603,58.519,65.73100000000001,59.18600000000001,58.435,58.894,65.218,63.95399999999999,63.702,63.791000000000004,63.303000000000004,65.38,68.307,69.58800000000001,74.575,85.725,78.404,83.57700000000001,77.605,84.39,88.53399999999999,98.425,104.21799999999999,163.711,221.235,277.61400000000003,343.713,375.449,382.223,399.74,527.582,632.618,715.1469999999999,813.903,1025.803,1248.782,1453.531,1644.225,1910.829,2085.5429999999997,2259.083,2581.751,2959.933,3282.9320000000002,3587.8590000000004,3877.512,4191.532,4480.719,4875.084,5212.515,5429.325,5760.783,5894.294,6089.441999999999,6423.704000000001,6556.004,6743.306,7052.895,7327.491,7551.738,7774.265,7943.976,7908.522,7993.276,8061.4259999999995,8161.435,8432.485,8493.624,8772.684000000001,8716.089,8883.176
1993-07-01,18.531,22.719,27.416999999999998,33.664,41.043,44.842,45.038000000000004,51.318999999999996,53.262,54.122,54.26,58.507,60.478,63.419,74.722,77.869,75.28399999999999,82.978,96.522,113.14,149.92,203.615,237.59799999999998,227.229,188.56900000000002,232.605,380.395,383.04,423.506,439.445,468.694,614.918,709.1030000000001,864.3,998.813,1151.323,1372.352,1631.194,1857.1860000000001,1941.858,2155.565,2430.436,2729.329,3021.527,3225.813,3594.9320000000002,4049.188,4383.23,4756.6359999999995,4768.397,5029.862,5369.543000000001,5731.908,5847.483,6089.762,6387.149,6693.273,6890.524,7011.653,7198.514,7253.799,7344.749,7401.765,7489.366999999999,7507.451,7485.933000000001,7401.1990000000005,-9999.0,-9999.0,-9999.0,-9999.0
1993-08-01,23.991999999999997,25.724,30.295,39.255,40.275999999999996,38.134,45.0,52.144,51.482,51.347,51.257,51.303000000000004,63.9,59.373000000000005,54.086999999999996,53.946999999999996,70.003,107.375,131.30200000000002,154.872,183.4,179.329,178.40400000000002,200.011,232.25599999999997,278.719,304.757,351.889,337.846,349.10699999999997,419.213,438.31300000000005,504.631,672.7819999999999,839.357,1144.059,1340.507,1505.654,1726.059,1938.5739999999998,2181.8179999999998,2543.757,2810.875,3034.783,3395.9790000000003,3876.02,4346.728,4628.318,4742.626,4929.255999999999,5264.401,5646.621999999999,6007.975,6266.445,6488.29,6675.271,6712.863,6929.981,7250.177,7297.98,7366.621999999999,7329.425,7374.764,7191.646,6460.943,6184.616999999999,6130.826999999999,-9999.0,-9999.0,-9999.0,-9999.0
1993-09-01,13.352,26.180999999999997,40.429,42.593999999999994,52.483999999999995,54.358000000000004,57.701,57.033,59.973,66.628,72.642,74.991,71.697,71.447,78.83800000000001,93.338,105.736,97.70100000000001,96.345,102.14,114.53,163.266,199.855,221.192,225.037,253.618,261.589,292.711,324.797,419.235,476.57,525.452,608.977,752.855,944.375,1190.4560000000001,1418.432,1651.4589999999998,1833.2379999999998,2013.957,2186.1820000000002,2428.147,2629.06,3000.103,3228.48,3664.74,3809.1740000000004,4015.27,4458.941,4767.991,5453.946999999999,5711.453,5872.665,6087.053000000001,6259.911999999999,6441.798000000001,6237.104,6348.842,6373.275,6558.133000000001,7096.744000000001,7401.486999999999,7400.513000000001,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1993-10-01,16.735,28.171,35.173,42.906000000000006,45.47,47.095,47.121,52.207,55.818999999999996,55.342,56.452,57.205,56.12,59.472,57.549,60.269,65.17,69.16199999999999,81.49600000000001,98.709,112.96600000000001,105.281,114.929,157.564,212.47400000000002,240.077,277.873,343.102,346.02099999999996,368.844,435.81300000000005,537.972,584.7669999999999,704.935,1005.433,1215.738,1373.105,1450.865,1677.281,1951.0479999999998,2151.331,2387.811,2671.3109999999997,2985.018,3214.315,3498.947,3761.611,3949.152,3888.77,4014.745,4583.398,4684.96,4512.944,4446.956,4643.665,4986.615,4951.912,5111.8820000000005,5282.499,5521.616,5619.472,5755.5509999999995,5792.395,5824.017,5849.29,6101.279,6231.313,-9999.0,-9999.0,-9999.0,-9999.0
1993-11-01,5.37,21.968000000000004,31.959,38.571999999999996,43.163000000000004,42.178999999999995,43.468999999999994,43.773,43.096000000000004,46.358000000000004,48.856,53.265,56.78,62.195,78.053,81.791,61.347,51.773999999999994,51.025,54.262,57.54,88.98700000000001,146.113,191.668,229.96099999999998,257.07599999999996,261.067,281.764,351.991,384.126,430.545,483.019,599.802,705.1439999999999,882.841,1144.177,1563.764,1739.4679999999998,1921.527,2168.68,2347.0029999999997,2614.3979999999997,3012.528,3366.9829999999997,3637.079,3947.725,4178.16,4457.352,4708.477,4893.005,5104.259,5310.451999999999,5333.819,5264.814,5250.54,5265.07,5237.194,5241.521,5293.92,5479.419,5747.509,5971.589,5877.415,5665.516,5690.668000000001,5739.081,5708.133000000001,5781.954000000001,-9999.0,-9999.0,-9999.0
1993-12-01,10.367,22.388,35.986999999999995,40.291,42.06100000000001,42.121,46.255,47.397,47.693000000000005,50.248000000000005,49.937,51.86,53.224,54.733999999999995,53.266000000000005,55.861999999999995,64.248,76.03699999999999,106.249,151.416,169.49,186.19099999999997,220.75099999999998,305.189,341.04,371.17900000000003,356.654,480.75199999999995,537.248,479.86699999999996,511.101,729.367,877.122,1092.805,1336.904,1604.692,1801.891,2041.011,2304.729,2482.012,2945.5820000000003,3337.059,3699.316,4000.329,4204.831,4385.282999999999,4617.592000000001,4782.501,4917.17,5007.788,5104.814,5294.843000000001,5396.977,5331.797,5304.755999999999,5250.552,5235.467000000001,5259.694,5312.271,5390.819,5432.929,5595.736999999999,5855.036999999999,6007.425,6192.286999999999,6342.3009999999995,6419.035,-9999.0,-9999.0,-9999.0,-9999.0
1994-01-01,16.884,23.44,34.304,37.189,38.545,38.633,39.686,40.779,42.55,44.97,44.791000000000004,43.934,44.751000000000005,49.367,48.201,48.445,51.138000000000005,54.358000000000004,75.655,99.81299999999999,137.92700000000002,168.785,230.033,329.542,470.621,417.19199999999995,369.92,415.726,422.274,454.50699999999995,509.543,787.525,1074.711,1256.3419999999999,1493.727,1664.128,1910.3310000000001,2174.924,2528.239,2945.427,3241.574,3774.3140000000003,4165.017,4361.455,4432.678,4648.915,4890.09,5054.727,5240.308,5491.588000000001,5719.889,5995.821,6177.184,6240.865,6089.106,6040.303000000001,6048.6359999999995,6088.795999999999,6330.183000000001,6622.5109999999995,6276.451,5778.865,5694.42,5833.147,5348.266,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
