,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1992-11-01,-9999.0,4.433,5.0280000000000005,5.894,6.755,8.415,9.1,9.828,10.526,12.353,12.048,10.705,11.186,12.014000000000001,11.177999999999999,10.335999999999999,8.882,9.888,10.449000000000002,5.516,5.966,9.187999999999999,6.898,5.9670000000000005,4.329,2.77,3.233,3.545,2.784,3.1039999999999996,3.3680000000000003,3.5410000000000004,3.614,3.012,-9999.0,-9999.0
1992-12-01,-9999.0,3.8689999999999998,4.0569999999999995,4.556,4.9830000000000005,6.455,7.711,8.683,10.059,11.582,12.229000000000001,11.722999999999999,11.728,11.767999999999999,11.139000000000001,11.202,10.13,9.932,9.606,7.209,5.555,5.869,6.2989999999999995,5.78,3.487,1.499,1.607,1.996,1.9509999999999998,2.282,2.596,2.878,3.117,3.438,3.352,2.997
1993-01-01,-9999.0,-9999.0,2.9789999999999996,3.8689999999999998,4.215,4.808,5.797000000000001,6.956,8.293,9.901,11.248,12.399000000000001,12.882,13.365,12.965,13.215,12.151,9.399,9.059,6.82,5.657,4.881,3.911,3.2,2.7689999999999997,1.499,1.393,1.585,1.774,1.975,2.225,2.438,2.715,2.991,3.218,3.055
1993-02-01,-9999.0,-9999.0,4.06,4.311,4.855,5.4239999999999995,6.047000000000001,6.486000000000001,7.354,8.786,10.453,12.267000000000001,13.658,14.258,14.398,15.312000000000001,12.769,11.328,11.738,9.847000000000001,6.142,7.314,6.0120000000000005,3.725,2.6319999999999997,2.311,1.735,1.954,2.097,2.342,2.721,3.325,3.305,3.239,3.701,3.5669999999999997
1993-03-01,4.763,5.224,5.972,6.441,7.272,8.106,9.116,10.006,11.37,12.505,13.629000000000001,14.770999999999999,15.12,15.78,14.958,14.210999999999999,13.107999999999999,11.857000000000001,9.684,7.7589999999999995,6.735,5.981,6.47,6.728,5.103,3.048,2.253,2.439,2.533,2.733,3.015,3.4939999999999998,3.48,3.648,3.654,3.049
1993-04-01,4.284,5.073,5.978,4.697,5.246,5.995,6.8020000000000005,8.123,9.574,10.69,11.837,13.005999999999998,14.427,14.970999999999998,15.238,13.212,12.237,10.378,9.575,6.952999999999999,7.712999999999999,6.443,7.081,7.261,5.478,3.861,2.842,2.1109999999999998,2.4,2.824,3.3110000000000004,4.035,3.681,3.967,4.755,5.048
1993-05-01,-9999.0,6.495,4.412,5.265,5.996,7.114,8.335,9.2,10.399000000000001,12.022,13.12,13.857999999999999,14.49,14.923,14.93,13.540999999999999,12.565999999999999,11.64,9.06,7.212999999999999,6.561,6.245,6.184,5.979,4.381,2.827,2.496,2.38,2.475,2.9960000000000004,3.375,3.435,3.885,4.709,4.878,4.301
1993-06-01,4.879,5.571000000000001,6.349,6.667999999999999,7.379,8.293,9.337,10.292,11.124,12.024000000000001,12.994000000000002,13.517999999999999,14.392999999999999,14.562000000000001,14.283,13.539000000000001,13.062999999999999,12.208,10.618,9.037,7.397,6.414,5.742999999999999,5.482,4.495,2.187,2.072,2.6010000000000004,2.752,3.017,3.111,3.361,3.7739999999999996,4.311,4.453,4.87
1993-07-01,-9999.0,-9999.0,6.2860000000000005,7.265,8.038,8.886000000000001,10.132,10.964,12.022,13.127,13.897,13.89,13.16,13.106,12.812999999999999,12.262,11.315999999999999,10.327,9.157,6.778,6.547999999999999,6.1370000000000005,4.878,6.462000000000001,5.474,2.498,2.191,2.356,2.58,2.865,3.03,3.1239999999999997,3.377,2.924,2.5540000000000003,2.238
1993-08-01,-9999.0,-9999.0,-9999.0,7.394,7.279,8.577,9.446,10.684000000000001,11.658,12.245999999999999,13.267000000000001,14.394,14.09,14.419,13.741,12.272,11.245,9.629,8.374,7.6979999999999995,5.849,5.199,5.027,5.007,4.91,3.511,2.231,1.804,1.9780000000000002,1.9769999999999999,2.892,2.9760000000000004,2.592,2.522,2.8369999999999997,4.236000000000001
