,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar
1969-01,-2.8000574960471467,0.0,0.0,1.0,0.0,0.67,1.2593605280794908,0.8975870600876362,0.594144534786513
1969-02,-2.7915699843254824,0.0,0.0,1.0,0.0,0.8490000000000001,1.1323963520251747,0.5376264618015687,0.6729093208249544
1969-03,-2.7839038447059146,0.0,0.0,1.0,0.0,0.45799999999999996,1.322247327803015,0.249721813708665,1.0879116829280613
1969-04,-2.7754163329842503,0.0,0.0,1.0,0.0,0.622,1.437846020371609,-0.2689464549522843,0.782558321084155
1969-05,-2.7672026119632847,0.0,0.0,1.0,0.0,0.674,1.4010924011236496,-0.5440632565126983,0.6127455914931622
1969-06,-2.7587151002416204,0.0,0.0,1.0,0.0,0.8009999999999999,1.306425637233365,-0.7939389343256305,1.0155237360577605
1969-07,-2.7505013792206547,0.0,0.0,1.0,0.0,0.49,1.1087828800002235,-0.9639537188938476,0.4475038734562728
1969-08,-2.7420138674989905,0.0,0.0,1.0,0.0,0.212,0.9525275847125113,-1.1101086726912177,0.5674317390649345
1969-09,-2.733526355777326,0.0,0.0,1.0,0.0,0.162,0.595289892867504,-1.0601622155281896,0.3969080668303918
1969-10,-2.7253126347563605,0.0,0.0,1.0,0.0,0.496,0.18139302347999137,-1.0348181775319165,0.7042823705495688
1969-11,-2.7168251230346963,0.0,0.0,1.0,0.0,0.659,-0.3195993696787949,-0.8917623745680764,0.7097204990328536
1969-12,-2.7086114020137306,0.0,0.0,1.0,0.0,0.41700000000000004,-0.5993973434917921,-0.7992246096082923,0.4053368163355594
1970-01,-2.7001238902920663,0.0,0.0,1.0,0.0,0.38,-0.708686790755042,-0.6129864430636732,0.7163101215027414
1970-02,-2.6916363785704016,0.0,0.0,1.0,0.0,0.43200000000000005,-0.8581455869705419,-0.3367096677094856,1.100351514219123
1970-03,-2.6839702389508338,0.0,0.0,1.0,0.0,0.228,-0.9359509147047052,-0.25178304675744306,0.7872179090987657
1970-04,-2.6754827272291695,0.0,0.0,1.0,0.0,0.013999999999999999,-0.966305044108296,0.02860490577572083,0.9238261207967483
1970-05,-2.667269006208204,0.0,0.0,1.0,0.0,-0.099,-1.0116962719529712,0.35259261857322594,1.12119778440312
1970-06,-2.6587814944865396,0.0,0.0,1.0,0.0,-0.636,-0.795114524834277,1.1807640778388113,0.8550348444149636
1970-07,-2.650567773465574,0.0,0.0,1.0,0.0,-1.055,-0.44101441823606286,1.5905727605023328,0.7921129240215699
1970-08,-2.6420802617439096,0.0,0.0,1.0,0.0,-1.0070000000000001,-0.30109654693966825,1.7655116634314876,0.45967148197866636
1970-09,-2.6335927500222454,0.0,0.0,1.0,0.0,-1.251,-0.19343359187489317,1.8855640345090243,0.5241574761878728
1970-10,-2.6253790290012797,0.0,0.0,1.0,0.0,-1.088,0.37289555086497467,1.821338979725316,0.5816272823410612
1970-11,-2.6168915172796154,0.0,0.0,1.0,0.0,-1.074,0.7696956176897882,1.7140817830446087,0.8248302713817849
1970-12,-2.60867779625865,0.0,0.0,1.0,0.0,-1.203,1.2470251497834242,1.45310682347727,0.5977109028016981
1971-01,-2.6001902845369855,0.0,0.0,1.0,0.0,-1.204,1.2721863999321525,0.9466424980065768,0.8009938796672239
1971-02,-2.5917027728153212,0.0,0.0,1.0,0.0,-1.507,1.1707995621223235,0.5296920768862036,0.3030684662978859
1971-03,-2.584036633195754,0.0,0.0,1.0,0.0,-1.79,1.3141405253731284,0.22930424949106346,-0.20898755647615289
1971-04,-2.575549121474089,0.0,0.0,1.0,0.0,-1.839,1.375580068583022,-0.12117488042672549,-0.0634587628212349
1971-05,-2.567335400453124,0.0,0.0,1.0,0.0,-1.429,1.2733456313872977,-0.5925500892687312,-0.1751420247242048
1971-06,-2.558847888731459,0.0,0.0,1.0,0.0,-1.42,1.1798441943995728,-0.737042665151691,-0.3374677124427963
1971-07,-2.550634167710494,0.0,0.0,1.0,0.0,-1.207,1.2485169744531224,-1.1845952819965855,0.016742560249653163
1971-08,-2.5421466559888293,0.0,0.0,1.0,0.0,-1.213,0.9119656792974851,-1.145735276483764,-0.07661236720665138
1971-09,-2.533659144267165,0.0,0.0,1.0,0.0,-1.4669999999999999,0.7175257432302357,-0.9652011032075467,-0.33197597189131
1971-10,-2.5254454232461994,0.0,0.0,1.0,0.0,-1.415,0.523805668875786,-1.228332583174798,-0.3033214869170189
1971-11,-2.516957911524535,0.0,0.0,1.0,0.0,-1.311,0.15093119369931787,-1.303503749572661,-0.1937430814308546
1971-12,-2.5087441905035694,0.0,0.0,1.0,0.0,-0.9690000000000001,-0.12107281630911808,-1.3401884784642828,0.004644880511869151
1972-01,-2.500256678781905,0.0,0.0,1.0,0.0,-0.575,-0.33131300487061466,-1.301536315172589,-0.20199467801500698
1972-02,-2.491769167060241,0.0,0.0,1.0,0.0,-0.39799999999999996,-0.41127479631606134,-1.139019525578677,0.38984156220061955
1972-03,-2.4838292367399744,0.0,0.0,1.0,0.0,-0.256,-0.6840997142715503,-1.2770746154387873,0.14541152393474704
1972-04,-2.4753417250183096,0.0,0.0,1.0,0.0,-0.166,-0.899307717750892,-1.1794551764883532,-0.14648520879042695
1972-05,-2.4671280039973444,0.0,0.0,1.0,0.0,0.423,-1.14668672162422,-0.285376606501229,0.2618429503128354
1972-06,-2.4586404922756797,0.0,0.0,1.0,0.0,0.966,-1.1688441192879038,0.24619281991788616,0.4176466133866647
1972-07,-2.4504267712547145,0.0,0.0,1.0,0.0,1.8259999999999998,-1.0780323836294512,0.6348593335390327,0.12079659175151124
1972-08,-2.44193925953305,0.0,0.0,1.0,0.0,1.8,-0.9809372392409087,0.9116310892640475,0.18268356613265715
1972-09,-2.4334517478113855,0.0,0.0,1.0,0.0,1.5219999999999998,-0.6843860100453504,1.3233174648979362,-0.1206162204031594
1972-10,-2.42523802679042,0.0,0.0,1.0,0.0,1.617,-0.10042688270196519,1.7023834663593342,-0.004422551892750472
1972-11,-2.4167505150687556,0.0,0.0,1.0,0.0,1.704,0.6653183180952158,1.774746812264458,-0.4486031988663099
1972-12,-2.40853679404779,0.0,0.0,1.0,0.0,1.787,1.1722304715363456,1.346947544698049,-0.44989221946264735
1973-01,-2.4000492823261257,0.0,0.0,1.0,0.0,1.723,1.1350492478542522,0.5949373949164423,-0.4657660535694504
1973-02,-2.3915617706044614,0.0,0.0,1.0,0.0,1.515,0.9704885847167639,0.10978247843110238,-0.5241765683727689
1973-03,-2.3838956309848935,0.0,0.0,1.0,0.0,0.87,0.8610498689226924,-0.29950033884583244,-0.4566753115699594
1973-04,-2.3754081192632293,0.0,0.0,1.0,0.0,0.491,0.8288431714276141,-0.570801493505952,-0.3183911400007899
1973-05,-2.3671943982422636,0.0,0.0,1.0,0.0,-0.099,0.8341131879287456,-0.9333904597115849,-0.46157032649276236
1973-06,-2.3587068865205993,0.0,0.0,1.0,0.0,-0.758,0.5534728334409273,-1.1102497088011167,-0.569782789719516
1973-07,-2.3504931654996337,0.0,0.0,1.0,0.0,-1.056,0.19932497963700588,-1.188194230562136,-0.7172299630322756
1973-08,-2.3420056537779694,0.0,0.0,1.0,0.0,-1.334,0.027232198525517736,-1.2344938948785926,-0.7695366939216507
1973-09,-2.333518142056305,0.0,0.0,1.0,0.0,-1.734,-0.2092008515022548,-1.2634323480572176,-0.29577384009795493
1973-10,-2.3253044210353395,0.0,0.0,1.0,0.0,-1.66,-0.43859907774053736,-1.1763165205344188,-0.7223347643089124
1973-11,-2.3168169093136752,0.0,0.0,1.0,0.0,-1.489,-0.6702828833649492,-0.9817345407851258,-0.8828120011542744
1973-12,-2.3086031882927096,0.0,0.0,1.0,0.0,-1.8259999999999998,-0.8071705092486027,-0.826628115535095,-0.843171704117523
1974-01,-2.3001156765710453,0.0,0.0,1.0,0.0,-1.912,-0.9591360387987425,-0.7268348825619528,-0.867227206023866
1974-02,-2.2916281648493806,0.0,0.0,1.0,0.0,-1.768,-1.0550651640120086,-0.6970795762413927,-0.9009079056406588
1974-03,-2.2839620252298127,0.0,0.0,1.0,0.0,-1.743,-1.1545744264740567,-0.7081040646360068,-0.9107229100521966
1974-04,-2.2754745135081484,0.0,0.0,1.0,0.0,-1.62,-1.2903810623829164,-0.4853303989450111,-0.7315000970119884
1974-05,-2.267260792487183,0.0,0.0,1.0,0.0,-1.048,-1.3271589526550531,-0.02819548253732669,-0.6036656168232578
1974-06,-2.258773280765519,0.0,0.0,1.0,0.0,-0.6940000000000001,-1.021320348756387,0.6464479699013097,-0.6816408735840142
1974-07,-2.2505595597445534,0.0,0.0,1.0,0.0,-0.75,-0.880301077793392,1.0703176369101692,-0.5399604940422139
1974-08,-2.242072048022889,0.0,0.0,1.0,0.0,-0.664,-0.7937112538548713,1.3203985956642599,-0.7666696137525811
1974-09,-2.2335845363012248,0.0,0.0,1.0,0.0,-0.628,-0.6793498040383928,1.4046889299558194,-0.6874939128559939
1974-10,-2.225370815280259,0.0,0.0,1.0,0.0,-1.05,-0.3275835133375794,1.4893960117084777,-0.5068841789209916
1974-11,-2.216883303558595,0.0,0.0,1.0,0.0,-1.24,0.20851452811296842,1.5260910977333237,-0.6967431601006038
1974-12,-2.2086695825376292,0.0,0.0,1.0,0.0,-0.8859999999999999,0.8083498435280682,1.4332075551851795,-0.9072963996062353
1975-01,-2.200182070815965,0.0,0.0,1.0,0.0,-0.522,0.8074948795326066,1.3854059566153758,-0.9849872793095722
1975-02,-2.1916945590943007,0.0,0.0,1.0,0.0,-0.5760000000000001,0.9531296376079845,1.1844506747316206,-1.0420466700959334
1975-03,-2.184028419474733,0.0,0.0,1.0,0.0,-0.85,1.0899415867214528,0.9350133842683199,-1.057573357736272
1975-04,-2.175540907753068,0.0,0.0,1.0,0.0,-0.927,1.3583285852784834,0.3912343467068554,-1.0666407901408919
1975-05,-2.167327186732103,0.0,0.0,1.0,0.0,-0.838,1.4384848198760776,0.05209065853448388,-1.058132788013164
1975-06,-2.158839675010438,0.0,0.0,1.0,0.0,-1.148,1.4255375784884894,-0.4654476142856563,-1.0517552828565973
1975-07,-2.150625953989473,0.0,0.0,1.0,0.0,-1.4969999999999999,1.3266137576976909,-0.7616391696607537,-0.8828213249922229
1975-08,-2.1421384422678083,0.0,0.0,1.0,0.0,-1.712,1.1540164739135745,-0.85851519664548,-0.6015677532849136
1975-09,-2.133650930546144,0.0,0.0,1.0,0.0,-1.876,1.097188817389059,-0.869076685206742,-0.8672761561730944
1975-10,-2.1254372095251783,0.0,0.0,1.0,0.0,-1.9780000000000002,0.9774194579715458,-0.9344128525952464,-0.9793230477560432
1975-11,-2.116949697803514,0.0,0.0,1.0,0.0,-1.756,0.8347218632992013,-1.0697389637197174,-0.896974910997583
1975-12,-2.1087359767825484,0.0,0.0,1.0,0.0,-1.732,0.7888466349814954,-1.11626748691671,-1.0440771023062594
1976-01,-2.100248465060884,0.0,0.0,1.0,0.0,-1.587,0.6463981489347259,-1.075328492090546,-1.0423988114755838
1976-02,-2.09176095333922,0.0,0.0,1.0,0.0,-1.3659999999999999,0.6577533360614924,-1.1076200511500307,-1.1183438829010344
1976-03,-2.0838210230189533,0.0,0.0,1.0,0.0,-1.213,0.3996555825363155,-1.2019826649734557,-0.9656869347568078
1976-04,-2.0753335112972886,0.0,0.0,1.0,0.0,-1.157,-0.007776800274455114,-1.1581202790509861,-0.9465450954491629
1976-05,-2.0671197902763234,0.0,0.0,1.0,0.0,-0.483,-0.6712596055606231,-0.9460177123643028,-1.0452658916446544
1976-06,-2.0586322785546587,0.0,0.0,1.0,0.0,0.276,-0.977129654124729,-0.4591948682907792,-1.0324619311822947
1976-07,-2.0504185575336935,0.0,0.0,1.0,0.0,0.633,-1.140486649855449,-0.3030651570391536,-1.0984816967339777
1976-08,-2.0419310458120288,0.0,0.0,1.0,0.0,0.654,-1.1309759129548502,-0.15959848878721472,-0.9494634567269481
1976-09,-2.0334435340903645,0.0,0.0,1.0,0.0,1.018,-1.034922993907639,-0.15241849882848107,-1.0091942935825737
1976-10,-2.025229813069399,0.0,0.0,1.0,0.0,0.927,-1.0623139327336248,0.1521107272686565,-0.975966466094693
1976-11,-2.0167423013477346,0.0,0.0,1.0,0.0,0.49,-0.9910308014366384,0.40569815937410214,-1.0654123744912172
1976-12,-2.008528580326769,0.0,0.0,1.0,0.0,0.565,-0.9518124882617294,0.6144976210766389,-0.9997422528625907
1977-01,-2.0000410686051047,0.0,0.0,1.0,0.0,0.529,-0.86270194101174,0.8153444961476288,-0.9861061398633553
1977-02,-1.9915535568834404,0.0,0.0,1.0,0.0,0.29,-0.8856715015138219,0.8429784325634884,-0.8709459188912401
1977-03,-1.9838874172638725,0.0,0.0,1.0,0.0,0.145,-0.9424401023899979,0.932998220476305,-0.9679945846489861
1977-04,-1.9753999055422082,0.0,0.0,1.0,0.0,0.552,-0.703934883868756,1.25889644343742,-0.9163405224159844
1977-05,-1.9671861845212426,0.0,0.0,1.0,0.0,0.31,-0.21516213090500455,1.4211332905625893,-0.8454793540097008
1977-06,-1.9586986727995783,0.0,0.0,1.0,0.0,0.414,0.4214433449170895,1.4823071788565503,-0.563062633518354
1977-07,-1.9504849517786127,0.0,0.0,1.0,0.0,0.888,0.8622384643910596,1.2199817910632929,-0.7959697745047841
1977-08,-1.9419974400569484,0.0,0.0,1.0,0.0,0.684,1.0475004392990237,1.0883077294940673,-0.7384883135541604
1977-09,-1.933509928335284,0.0,0.0,1.0,0.0,0.7829999999999999,1.1755009799467526,0.7243372235344795,-0.42331228843182994
1977-10,-1.9252962073143185,0.0,0.0,1.0,0.0,0.97,1.344275871750802,0.4718213931076029,-0.5233174433046842
1977-11,-1.916808695592654,0.0,0.0,1.0,0.0,0.9620000000000001,1.4497015346241355,0.005078664044533592,-0.6241221172815977
1977-12,-1.9085949745716886,0.0,0.0,1.0,0.0,0.877,1.5275749359830226,-0.5158508774712719,-0.46695484290784484
1978-01,-1.9001074628500245,0.0,0.0,1.0,0.0,0.777,1.4374780671578231,-0.7334011461597476,-0.3112933683627259
1978-02,-1.89161995112836,0.0,0.0,1.0,0.0,0.912,1.1743049563715173,-0.876845467700701,0.46418188858610665
1978-03,-1.8839538115087922,0.0,0.0,1.0,0.0,0.935,1.004843026689776,-0.8659465469556877,0.43037132122646365
1978-04,-1.8754662997871279,0.0,0.0,1.0,0.0,0.19899999999999998,0.7702433662382321,-0.9712799745819491,0.6512623660571574
1978-05,-1.8672525787661622,0.0,0.0,1.0,0.0,-0.37799999999999995,0.14512790379889304,-1.1085770051783956,0.6352626601380541
1978-06,-1.858765067044498,0.0,0.0,1.0,0.0,-0.605,-0.3578015161576002,-1.152346914925632,0.5705482318991184
1978-07,-1.8505513460235323,0.0,0.0,1.0,0.0,-0.42,-0.5934378237513311,-1.2153090176558623,0.32435928375548356
1978-08,-1.842063834301868,0.0,0.0,1.0,0.0,-0.19899999999999998,-0.6710249803669192,-1.161619148281701,-0.07640258085281748
1978-09,-1.8335763225802038,0.0,0.0,1.0,0.0,-0.391,-0.6641873676648165,-1.1713673032079468,0.849181805142985
1978-10,-1.8253626015592381,0.0,0.0,1.0,0.0,-0.027999999999999997,-0.8026111786731388,-1.0543093447660687,0.7956093632521412
1978-11,-1.8168750898375738,0.0,0.0,1.0,0.0,0.175,-0.874334459669641,-1.053450017713118,0.6029205972552524
