,0km,1km,2km,3km,4km,5km,6km,7km,8km,9km,10km,11km
1994-08-01,2.701,3.1010000000000004,3.627,3.5839999999999996,3.315,2.986,2.557,2.515,2.472,2.5469999999999997,2.989,3.9989999999999997
1994-09-01,3.029,3.515,3.3339999999999996,3.262,3.134,2.71,2.445,2.211,2.07,2.068,2.185,3.5210000000000004
1994-10-01,2.3040000000000003,2.93,2.835,2.895,2.657,2.332,1.989,1.75,1.588,1.6380000000000001,2.336,2.583
1994-11-01,1.3,2.56,2.76,2.565,2.475,2.166,1.794,1.63,1.347,1.224,1.36,2.398
1994-12-01,1.81,2.858,2.904,2.6689999999999996,2.324,1.9969999999999999,1.724,1.56,1.508,1.551,1.604,2.7569999999999997
1995-01-01,2.048,2.7460000000000004,2.738,2.6289999999999996,2.367,2.146,1.874,1.784,1.84,2.6189999999999998,3.81,4.99
1995-02-01,2.181,2.872,2.9,2.7689999999999997,2.515,2.247,1.979,1.935,2.214,3.287,5.324,4.35
1995-03-01,2.8739999999999997,3.2510000000000003,3.1239999999999997,2.7939999999999996,2.6319999999999997,2.461,2.269,2.6439999999999997,3.8819999999999997,4.811,5.742000000000001,7.5329999999999995
1995-04-01,2.822,3.6210000000000004,3.725,3.563,3.27,2.886,2.5780000000000003,2.4659999999999997,2.334,2.49,3.908,4.044
1995-05-01,4.01,4.65,4.052,3.735,3.463,2.971,2.63,2.319,2.3280000000000003,2.8710000000000004,3.568,6.178999999999999
1995-06-01,3.3110000000000004,3.665,3.7,3.721,3.488,3.2119999999999997,3.0589999999999997,2.859,3.405,4.74,7.165,6.3229999999999995
1995-07-01,4.12,4.343,4.013999999999999,3.931,3.7030000000000003,3.647,3.2760000000000002,2.909,2.645,2.76,3.263,3.358
1995-08-01,4.168,4.342,3.98,3.5980000000000003,3.283,3.0669999999999997,2.628,2.503,2.3040000000000003,2.602,2.512,5.452000000000001
1995-09-01,2.219,2.838,2.9739999999999998,2.992,2.562,2.4290000000000003,2.234,1.9269999999999998,2.255,2.399,2.9410000000000003,3.307
1995-10-01,1.8130000000000002,2.77,3.0210000000000004,2.688,2.3819999999999997,2.042,1.788,1.517,1.3719999999999999,1.272,2.011,1.527
1995-11-01,1.33,2.414,2.687,2.559,2.3409999999999997,2.045,1.761,1.558,1.3659999999999999,1.357,1.92,2.7060000000000004
1995-12-01,0.841,1.9769999999999999,2.336,2.4619999999999997,2.239,2.074,1.85,1.6230000000000002,1.54,1.675,1.4480000000000002,2.615
1996-01-01,1.641,3.255,2.963,2.657,2.44,2.112,1.8119999999999998,1.5919999999999999,1.351,1.357,1.611,3.2960000000000003
1996-02-01,2.136,2.7539999999999996,2.798,2.636,2.444,2.248,1.982,2.165,2.294,3.5069999999999997,4.563,5.007
1996-03-01,3.508,4.216,3.6239999999999997,3.324,3.109,2.827,2.569,2.398,2.327,3.134,3.8710000000000004,-9999.0
1996-04-01,5.11,5.138,4.149,3.431,3.266,2.801,2.533,2.307,2.15,4.534,5.926,-9999.0
1996-05-01,4.072,3.975,3.761,3.69,3.407,3.156,2.945,2.6069999999999998,2.576,3.864,5.436,9.293
1996-06-01,3.958,4.034,4.01,3.918,3.533,3.262,3.017,2.8160000000000003,3.588,4.185,3.495,3.48
1996-07-01,3.487,4.2219999999999995,3.695,3.488,3.341,3.0839999999999996,2.9219999999999997,2.927,3.182,3.637,4.132,4.6930000000000005
1996-08-01,3.57,4.086,3.9619999999999997,3.931,3.801,3.4160000000000004,2.8480000000000003,2.6510000000000002,2.571,3.0180000000000002,3.65,4.246
