,0.0km,0.5km,1.0km,1.5km,2.0km,2.5km,3.0km,3.5km,4.0km,4.5km,5.0km,5.5km,6.0km,6.5km,7.0km,7.5km,8.0km,8.5km,9.0km,9.5km,10.0km,10.5km,11.0km,11.5km
1994-08-01,20.5,30.462,35.714,37.416,44.153999999999996,51.342,53.393,55.619,57.678999999999995,56.843999999999994,60.82899999999999,57.626999999999995,57.113,59.031000000000006,65.273,65.824,71.90899999999999,77.377,80.75399999999999,98.738,108.459,137.4,172.295,210.27900000000002
1994-09-01,26.631,33.644,40.162,43.108999999999995,44.504,45.195,48.075,51.273,53.766000000000005,54.162,53.095,54.202,54.667,56.211000000000006,56.269,59.282,63.555,61.64,67.547,80.876,63.153,118.98,130.989,243.261
1994-10-01,14.212,28.11,33.808,35.088,35.196,40.405,42.898999999999994,43.86600000000001,46.403999999999996,45.74,45.588,46.36,45.51,44.547,46.016000000000005,45.547,49.677,46.812,54.22,64.933,95.022,92.395,120.346,119.227
1994-11-01,5.809,19.374000000000002,27.038,34.638000000000005,33.828,40.131,37.404,40.885,42.631,42.711999999999996,42.532,43.481,39.848,41.661,41.321000000000005,43.724,41.1,40.588,40.641,50.027,50.792,60.428000000000004,96.70100000000001,216.15400000000002
1994-12-01,11.022,25.884,32.009,35.893,38.563,38.996,40.149,40.816,39.75,40.765,39.966,39.442,38.574,39.736,39.84,41.927,44.652,46.503,53.638999999999996,51.903999999999996,55.1,79.859,109.97,214.267
1995-01-01,14.06,26.96,30.875,34.202,35.492,37.83,39.353,40.515,40.695,41.098,42.433,42.756,41.526,43.733000000000004,44.131,49.104,57.073,55.25899999999999,81.002,113.57700000000001,131.235,178.105,215.355,294.367
1995-02-01,16.21,27.01,32.213,35.891,37.81,39.844,41.5,42.15,43.312,43.975,44.589,44.411,45.136,44.766000000000005,50.68,50.695,59.938,73.382,108.992,142.181,200.832,232.03099999999998,207.66400000000002,195.041
1995-03-01,25.969,33.24,37.363,39.027,41.206,42.527,42.306999999999995,42.603,44.946999999999996,46.284,49.522,47.747,50.167,53.156000000000006,63.213,75.189,102.62100000000001,130.319,159.311,201.825,219.19,248.787,341.352,439.43300000000005
1995-04-01,24.331999999999997,32.695,40.24,46.32,48.971000000000004,50.857,52.63,55.22,55.977,57.256,57.262,56.903,57.818999999999996,59.103,64.17699999999999,64.993,67.906,73.192,75.28399999999999,112.023,139.935,174.783,171.142,276.404
1995-05-01,32.854,49.12,55.629,53.113,56.012,52.745,55.466,58.011,59.236999999999995,60.626999999999995,58.868,58.901,60.903999999999996,58.211000000000006,61.138999999999996,60.648999999999994,66.051,74.21,100.45200000000001,99.057,120.96700000000001,160.872,259.197,400.611
1995-06-01,29.835,37.628,42.708999999999996,43.698,47.056999999999995,52.18899999999999,54.806999999999995,58.333999999999996,58.625,62.317,63.794,63.131,69.043,69.888,72.597,76.788,96.891,108.62700000000001,135.722,219.97299999999998,290.395,284.889,286.687,320.369
1995-07-01,36.008,47.576,51.946000000000005,49.663999999999994,51.373000000000005,56.577,59.431999999999995,60.00899999999999,63.463,64.44,71.54,73.35,73.46600000000001,75.21600000000001,75.039,77.128,79.67,81.061,92.87799999999999,108.994,139.47299999999998,117.249,144.124,192.52700000000002
1995-08-01,36.942,47.821999999999996,48.835,54.34,56.773999999999994,50.255,54.108000000000004,55.135,56.161,57.477,59.251000000000005,62.312,59.888000000000005,59.61600000000001,65.105,66.295,66.969,71.959,86.78200000000001,105.31,94.054,112.039,232.34599999999998,333.36400000000003
1995-09-01,17.375999999999998,25.252,32.719,34.291,38.012,41.623000000000005,44.688,45.935,43.644,45.156000000000006,47.747,48.644,50.975,49.288000000000004,50.975,50.347,52.945,78.046,70.506,112.465,95.98200000000001,153.31,160.094,139.486
1995-10-01,8.821,24.29,31.24,34.527,38.04,43.559,40.885,40.165,42.535,39.674,39.951,40.974,41.016000000000005,39.594,37.998000000000005,41.47,41.75899999999999,41.585,41.85,53.248000000000005,82.184,77.51,71.23100000000001,65.37
1995-11-01,7.807,16.995,26.413,31.715,35.615,36.117,37.756,39.765,40.759,40.058,40.371,40.667,40.126999999999995,39.719,40.576,40.654,40.488,42.07,41.263000000000005,61.739,61.596000000000004,91.75399999999999,125.375,131.379
1995-12-01,2.66,12.794,21.199,25.925,28.214000000000002,33.971,36.562,38.031,38.964,38.783,40.4,41.931999999999995,41.46,42.658,41.776,42.403,40.711,52.396,61.463,52.52,58.558,56.38399999999999,117.68299999999999,146.286
1996-01-01,3.4,25.759,37.37,38.658,38.048,41.273999999999994,39.594,41.207,42.218,41.938,42.272,41.398,40.1,42.131,42.451,40.733000000000004,40.054,41.621,43.702,56.258,64.27,67.738,149.782,171.05599999999998
1996-02-01,14.472000000000001,26.636999999999997,31.045,34.393,36.781,38.080999999999996,39.44,40.385,41.302,43.5,44.49100000000001,44.786,43.097,47.376000000000005,52.803999999999995,60.21,62.582,76.649,111.838,144.586,165.03900000000002,200.093,228.054,-9999.0
1996-03-01,32.909,40.244,48.733000000000004,50.519,48.238,49.455,48.953,52.125,53.74100000000001,54.29,55.938,56.27,56.912,60.156000000000006,63.023,63.281000000000006,67.77,73.235,125.556,61.511,115.529,191.106,-9999.0,-9999.0
1996-04-01,42.573,61.028,59.943000000000005,61.349,59.125,52.288000000000004,51.361999999999995,52.549,55.355,57.931999999999995,56.321999999999996,54.528,55.958999999999996,59.158,62.553999999999995,58.044,65.637,64.05,159.241,159.874,188.428,274.596,-9999.0,-9999.0
1996-05-01,37.645,46.055,45.505,48.519,48.791000000000004,51.906000000000006,55.227,56.757,58.215,59.855,62.299,62.831,67.19800000000001,66.59899999999999,66.17399999999999,70.27,73.329,82.109,129.16,148.537,195.59799999999998,242.394,419.409,474.333
1996-06-01,35.703,45.17100000000001,46.426,48.701,48.076,58.59,57.913000000000004,61.397,61.641000000000005,60.87,62.607,66.633,72.60600000000001,64.89399999999999,68.791,78.47,91.075,124.189,149.446,139.127,120.652,159.851,163.319,163.262
1996-07-01,30.22,41.246,48.705,50.886,51.239,47.803000000000004,50.773,55.558,56.735,59.097,59.766000000000005,62.538000000000004,64.96,68.05199999999999,73.054,79.79899999999999,91.285,100.523,126.59,124.052,178.873,139.877,214.171,235.533
1996-08-01,30.418000000000003,41.394,47.232,49.181999999999995,51.648,54.771,57.494,62.273999999999994,64.914,66.759,69.308,65.327,63.074,66.51,67.943,70.855,71.405,83.412,112.257,95.617,138.421,157.011,197.037,190.757
1996-09-01,16.718,28.58,32.474000000000004,39.029,41.86,46.434,48.958,51.1,52.599,53.468,54.324,56.955,57.0,55.907,58.6,60.722,64.79,58.231,73.899,86.212,92.84700000000001,102.02600000000001,119.165,149.833
1996-10-01,14.155999999999999,27.455,32.801,39.714,43.821999999999996,44.931999999999995,45.373000000000005,44.641999999999996,45.287,46.126000000000005,45.674,47.473,48.619,47.24100000000001,49.716,53.673,47.345,46.68600000000001,44.349,67.165,83.77799999999999,108.39,121.39,-9999.0
1996-11-01,10.088,21.011,26.756,34.76,36.482,35.891,39.056,41.196999999999996,40.78,41.453,42.785,44.358000000000004,46.251999999999995,48.397,52.806999999999995,54.72,58.703,61.39,96.366,143.069,162.17,171.67,152.782,259.237
1996-12-01,5.66,22.967,32.621,35.256,38.626999999999995,38.167,39.57,40.326,41.559,42.461000000000006,42.8,46.398999999999994,47.13399999999999,43.397,41.352,41.083999999999996,41.915,41.824,45.756,51.27,78.311,81.248,146.196,156.8
1997-01-01,8.231,25.759,34.898,37.887,36.926,40.104,39.718,42.308,42.228,42.503,42.545,43.261,43.146,44.218999999999994,45.638999999999996,44.786,52.086999999999996,51.698,50.309,53.717,75.634,106.745,79.753,100.584
1997-02-01,17.78,30.682,34.874,37.624,38.431,39.303000000000004,41.721000000000004,42.768,44.081,44.29,44.603,45.708,45.7,46.841,53.317,59.873000000000005,70.32,77.331,122.70100000000001,99.087,168.88400000000001,181.282,102.76100000000001,145.42600000000002
1997-03-01,19.468,30.529,33.381,38.615,41.488,42.66,44.912,49.552,51.224,48.159,48.163000000000004,47.138999999999996,47.52,53.50899999999999,52.367,55.615,60.798,60.54,92.464,79.932,125.99600000000001,130.933,310.98900000000003,364.57099999999997
1997-04-01,30.041999999999998,41.111999999999995,45.696999999999996,47.466,51.02,53.195,51.589,54.373999999999995,52.50899999999999,52.247,53.365,52.791000000000004,54.065,55.559,57.72,55.208,59.403999999999996,58.355,65.96600000000001,57.762,70.759,89.79700000000001,147.22899999999998,181.58700000000002
1997-05-01,40.841,45.905,48.452,48.169,49.836000000000006,53.77,55.43899999999999,55.75899999999999,56.61,57.56,60.091,58.323,56.778999999999996,62.463,70.569,69.555,68.553,68.83,81.95200000000001,107.306,126.764,171.86599999999999,182.368,274.21299999999997
1997-06-01,31.788,38.466,43.188,43.223,46.758,47.019,50.794,53.681999999999995,56.145,60.24100000000001,59.603,62.048,61.891999999999996,62.903,70.638,72.146,75.604,80.437,149.934,153.183,200.597,258.487,434.725,438.0
1997-07-01,29.284000000000002,41.321000000000005,46.869,48.64,51.168,54.04,51.888999999999996,54.677,56.123000000000005,59.46,62.504,64.993,68.12100000000001,68.77600000000001,70.04,74.108,80.97,80.202,96.277,118.145,97.25,161.002,209.68599999999998,343.585
1997-08-01,35.079,55.306000000000004,55.18,52.461999999999996,52.316,49.341,49.952,50.599,51.971000000000004,52.258,51.175,55.479,55.745,62.282,62.121,59.545,59.768,64.585,69.848,81.447,85.46799999999999,89.348,101.44200000000001,126.759
1997-09-01,22.141,40.703,44.349,43.297,40.885999999999996,47.117,46.833999999999996,49.82,48.317,49.208,52.70399999999999,52.553999999999995,51.72,52.91,55.213,54.18600000000001,62.961999999999996,69.717,87.76,67.127,62.114,55.492,60.843,77.3
1997-10-01,15.649000000000001,27.938000000000002,36.165,36.428000000000004,38.562,42.718,43.571000000000005,46.431000000000004,46.065,46.56,52.086000000000006,52.128,49.058,51.678999999999995,51.955,55.917,55.869,60.483999999999995,81.813,91.429,105.719,134.945,65.467,103.50399999999999
1997-11-01,18.559,31.683000000000003,35.669000000000004,39.668,41.36600000000001,41.146,44.205,42.887,44.1,46.257,49.846000000000004,47.907,49.943999999999996,49.615,55.227,59.751000000000005,65.181,70.0,72.27199999999999,126.20299999999999,157.032,197.225,137.442,185.333
1997-12-01,9.679,25.226,32.826,35.131,36.900999999999996,39.451,41.205,40.835,40.395,41.195,42.058,41.956,42.464,43.428999999999995,42.388999999999996,44.655,46.38399999999999,49.70399999999999,54.858999999999995,68.579,90.875,101.88600000000001,122.23,144.338
1998-01-01,15.902999999999999,29.141,33.293,36.145,40.027,42.684,42.446999999999996,43.758,44.33,45.36,46.842,47.218999999999994,47.847,47.011,52.236000000000004,50.935,54.739,54.20399999999999,59.849,105.03,120.243,186.513,197.65599999999998,239.554
1998-02-01,21.656999999999996,38.349000000000004,42.607,44.795,46.339,46.257,47.751999999999995,48.376999999999995,50.015,50.355,48.199,47.971000000000004,46.282,45.672,44.053999999999995,49.178000000000004,50.118,48.065,74.844,58.76,61.691,77.36,85.102,79.837
1998-03-01,30.105,38.579,41.645,47.321000000000005,48.083999999999996,49.479,48.933,48.791000000000004,51.17100000000001,52.39,51.953,53.838,56.467,59.195,60.323,72.11399999999999,81.50399999999999,110.985,72.89,116.291,156.488,197.88,215.515,264.967
1998-04-01,30.433000000000003,38.847,44.328,49.67100000000001,52.965,51.86600000000001,56.91,57.351000000000006,57.346000000000004,56.86600000000001,56.993,58.358999999999995,59.558,62.461999999999996,66.891,70.516,75.047,90.3,140.14700000000002,234.94,337.399,379.676,442.949,616.511
1998-05-01,39.527,48.438,53.294,57.913999999999994,57.727,57.235,58.126000000000005,60.098,55.599,62.815,65.488,65.117,69.843,72.798,73.949,71.058,72.861,76.484,75.915,79.88,85.91,101.876,194.296,298.652
1998-06-01,39.398,42.662,45.073,51.434,50.341,56.2,58.835,62.36600000000001,65.832,67.62100000000001,64.867,67.539,68.439,71.98100000000001,70.833,75.486,75.33800000000001,79.89699999999999,120.448,196.862,236.847,260.328,579.68,533.88
1998-07-01,26.078000000000003,37.672,42.498999999999995,45.672,45.794,47.864,49.76,55.743,56.919,58.09,60.223,63.781000000000006,63.318999999999996,68.491,71.15,76.253,78.092,84.581,133.287,303.625,377.03,404.67699999999996,419.82,364.483
1998-08-01,38.978,47.605,48.818999999999996,50.183,47.292,48.608999999999995,52.951,55.425,57.725,61.621,60.69,63.666000000000004,68.27199999999999,66.968,63.442,66.999,70.508,70.86,106.146,81.737,96.07799999999999,91.166,116.544,146.502
1998-09-01,18.794,34.685,39.055,43.715,46.49,43.06,48.723,51.413000000000004,54.949,57.465,59.265,59.035,58.35,60.373000000000005,62.253,64.432,65.086,68.543,88.949,92.009,136.791,166.907,132.78,175.49200000000002
1998-10-01,18.77,29.551,34.115,39.381,45.016000000000005,46.027,46.96,53.278,49.628,51.229,51.161,51.541000000000004,52.438,50.495,52.173,64.76100000000001,69.95100000000001,63.236000000000004,71.273,94.366,97.98299999999999,76.28699999999999,112.994,163.44299999999998
1998-11-01,9.638,26.660999999999998,36.155,40.847,39.605,43.333,44.403999999999996,45.07899999999999,47.605,48.418,48.776,48.648,49.053000000000004,50.281000000000006,52.411,54.455,68.458,79.508,108.054,100.20200000000001,137.734,208.015,184.388,208.894
1998-12-01,15.08,29.019000000000002,37.148,39.374,40.957,42.326,42.129,42.608999999999995,43.251999999999995,45.114,47.255,50.718,50.174,45.155,45.888999999999996,45.854,46.886,49.48,46.818999999999996,69.30199999999999,83.175,108.844,249.615,188.53900000000002
1999-01-01,16.694000000000003,30.948,37.746,40.204,42.315,42.82,44.341,46.107,47.24,49.617,51.14,52.031000000000006,52.673,57.315,57.503,54.677,60.599,64.29,95.955,113.645,133.752,153.727,173.12599999999998,190.47299999999998
1999-02-01,17.637999999999998,31.044,37.141999999999996,44.148999999999994,45.239,47.31,48.501999999999995,47.968999999999994,48.156000000000006,50.129,52.145,52.537,51.151,54.761,55.473,54.508,66.771,83.803,94.24700000000001,160.664,194.097,103.57700000000001,188.293,196.493
