,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar,pre_tropop,temp_sur,AO,NOI,EA,AOD
1969-01,-2.8000574960471467,0.0,0.0,1.0,0.0,0.67,1.2593605280794917,0.8975870600876376,0.594144534786513,,,,,,
1969-02,-2.7915699843254824,0.0,0.0,1.0,0.0,0.8490000000000001,1.1323963520251747,0.5376264618015675,0.6729093208249544,,,,,,
1969-03,-2.7839038447059146,0.0,0.0,1.0,0.0,0.45799999999999996,1.3222473278030147,0.24972181370866434,1.0879116829280613,,,,,,
1969-04,-2.7754163329842503,0.0,0.0,1.0,0.0,0.622,1.4378460203716081,-0.26894645495228464,0.782558321084155,,,,,,
1969-05,-2.7672026119632847,0.0,0.0,1.0,0.0,0.674,1.4010924011236487,-0.5440632565126999,0.6127455914931622,,,,,,
1969-06,-2.7587151002416204,0.0,0.0,1.0,0.0,0.8009999999999999,1.3064256372333636,-0.7939389343256326,1.0155237360577605,,,,,,
1969-07,-2.7505013792206547,0.0,0.0,1.0,0.0,0.49,1.1087828800002224,-0.9639537188938513,0.4475038734562728,,,,,,
1969-08,-2.7420138674989905,0.0,0.0,1.0,0.0,0.212,0.9525275847125096,-1.1101086726912213,0.5674317390649345,,,,,,
1969-09,-2.733526355777326,0.0,0.0,1.0,0.0,0.162,0.5952898928675034,-1.0601622155281916,0.3969080668303918,,,,,,
1969-10,-2.7253126347563605,0.0,0.0,1.0,0.0,0.496,0.1813930234799909,-1.0348181775319183,0.7042823705495688,,,,,,
1969-11,-2.7168251230346963,0.0,0.0,1.0,0.0,0.659,-0.3195993696787955,-0.8917623745680768,0.7097204990328536,,,,,,
1969-12,-2.7086114020137306,0.0,0.0,1.0,0.0,0.41700000000000004,-0.5993973434917923,-0.7992246096082922,0.4053368163355594,,,,,,
1970-01,-2.7001238902920663,0.0,0.0,1.0,0.0,0.38,-0.7086867907550423,-0.6129864430636729,0.7163101215027414,,,,,,
1970-02,-2.6916363785704016,0.0,0.0,1.0,0.0,0.43200000000000005,-0.8581455869705417,-0.33670966770948385,1.100351514219123,,,,,,
1970-03,-2.6839702389508338,0.0,0.0,1.0,0.0,0.228,-0.9359509147047049,-0.251783046757442,0.7872179090987657,,,,,,
1970-04,-2.6754827272291695,0.0,0.0,1.0,0.0,0.013999999999999999,-0.9663050441082958,0.028604905775721917,0.9238261207967483,,,,,,
1970-05,-2.667269006208204,0.0,0.0,1.0,0.0,-0.099,-1.01169627195297,0.3525926185732263,1.12119778440312,,,,,,
1970-06,-2.6587814944865396,0.0,0.0,1.0,0.0,-0.636,-0.7951145248342761,1.18076407783881,0.8550348444149636,,,,,,
1970-07,-2.650567773465574,0.0,0.0,1.0,0.0,-1.055,-0.44101441823606197,1.5905727605023319,0.7921129240215699,,,,,,
1970-08,-2.6420802617439096,0.0,0.0,1.0,0.0,-1.0070000000000001,-0.3010965469396668,1.765511663431487,0.45967148197866636,,,,,,
1970-09,-2.6335927500222454,0.0,0.0,1.0,0.0,-1.251,-0.19343359187489148,1.885564034509024,0.5241574761878728,,,,,,
1970-10,-2.6253790290012797,0.0,0.0,1.0,0.0,-1.088,0.372895550864976,1.8213389797253157,0.5816272823410612,,,,,,
1970-11,-2.6168915172796154,0.0,0.0,1.0,0.0,-1.074,0.7696956176897889,1.7140817830446071,0.8248302713817849,,,,,,
1970-12,-2.60867779625865,0.0,0.0,1.0,0.0,-1.203,1.2470251497834242,1.4531068234772677,0.5977109028016981,,,,,,
1971-01,-2.6001902845369855,0.0,0.0,1.0,0.0,-1.204,1.272186399932153,0.946642498006575,0.8009938796672239,,,,,,
1971-02,-2.5917027728153212,0.0,0.0,1.0,0.0,-1.507,1.170799562122324,0.5296920768862028,0.3030684662978859,,,,,,
1971-03,-2.584036633195754,0.0,0.0,1.0,0.0,-1.79,1.3141405253731278,0.22930424949106365,-0.20898755647615289,,,,,,
1971-04,-2.575549121474089,0.0,0.0,1.0,0.0,-1.839,1.3755800685830215,-0.1211748804267254,-0.0634587628212349,,,,,,
1971-05,-2.567335400453124,0.0,0.0,1.0,0.0,-1.429,1.2733456313872973,-0.592550089268731,-0.1751420247242048,,,,,,
1971-06,-2.558847888731459,0.0,0.0,1.0,0.0,-1.42,1.1798441943995717,-0.7370426651516925,-0.3374677124427963,,,,,,
1971-07,-2.550634167710494,0.0,0.0,1.0,0.0,-1.207,1.2485169744531213,-1.184595281996588,0.016742560249653163,,,,,,
1971-08,-2.5421466559888293,0.0,0.0,1.0,0.0,-1.213,0.9119656792974836,-1.1457352764837663,-0.07661236720665138,,,,,,
1971-09,-2.533659144267165,0.0,0.0,1.0,0.0,-1.4669999999999999,0.717525743230235,-0.9652011032075474,-0.33197597189131,,,,,,
1971-10,-2.5254454232461994,0.0,0.0,1.0,0.0,-1.415,0.5238056688757854,-1.2283325831747987,-0.3033214869170189,,,,,,
1971-11,-2.516957911524535,0.0,0.0,1.0,0.0,-1.311,0.15093119369931712,-1.3035037495726611,-0.1937430814308546,,,,,,
1971-12,-2.5087441905035694,0.0,0.0,1.0,0.0,-0.9690000000000001,-0.12107281630911888,-1.340188478464283,0.004644880511869151,,,,,,
1972-01,-2.500256678781905,0.0,0.0,1.0,0.0,-0.575,-0.3313130048706155,-1.3015363151725887,-0.20199467801500698,,,,,,
1972-02,-2.491769167060241,0.0,0.0,1.0,0.0,-0.39799999999999996,-0.41127479631606206,-1.1390195255786772,0.38984156220061955,,,,,,
1972-03,-2.4838292367399744,0.0,0.0,1.0,0.0,-0.256,-0.6840997142715511,-1.277074615438787,0.14541152393474704,,,,,,
1972-04,-2.4753417250183096,0.0,0.0,1.0,0.0,-0.166,-0.8993077177508924,-1.1794551764883527,-0.14648520879042695,,,,,,
1972-05,-2.4671280039973444,0.0,0.0,1.0,0.0,0.423,-1.14668672162422,-0.28537660650122876,0.2618429503128354,,,,,,
1972-06,-2.4586404922756797,0.0,0.0,1.0,0.0,0.966,-1.1688441192879033,0.2461928199178859,0.4176466133866647,,,,,,
1972-07,-2.4504267712547145,0.0,0.0,1.0,0.0,1.8259999999999998,-1.0780323836294508,0.6348593335390331,0.12079659175151124,,,,,,
1972-08,-2.44193925953305,0.0,0.0,1.0,0.0,1.8,-0.9809372392409079,0.911631089264049,0.18268356613265715,,,,,,
1972-09,-2.4334517478113855,0.0,0.0,1.0,0.0,1.5219999999999998,-0.6843860100453495,1.3233174648979378,-0.1206162204031594,,,,,,
