ind,enso_mei
1951-01-01,-1.0490000000000002
1951-02-01,-1.1520000000000001
1951-03-01,-1.178
1951-04-01,-0.511
1951-05-01,-0.374
1951-06-01,0.28800000000000003
1951-07-01,0.679
1951-08-01,0.818
1951-09-01,0.726
1951-10-01,0.72
1951-11-01,0.6940000000000001
1951-12-01,0.504
1952-01-01,0.433
1952-02-01,0.138
1952-03-01,0.071
1952-04-01,0.22399999999999998
1952-05-01,-0.307
1952-06-01,-0.7559999999999999
1952-07-01,-0.305
1952-08-01,-0.374
1952-09-01,0.31
1952-10-01,0.265
1952-11-01,-0.35100000000000003
1952-12-01,-0.098
1953-01-01,0.044000000000000004
1953-02-01,0.401
1953-03-01,0.27699999999999997
1953-04-01,0.687
1953-05-01,0.7559999999999999
1953-06-01,0.191
1953-07-01,0.382
1953-08-01,0.209
1953-09-01,0.483
1953-10-01,0.087
1953-11-01,0.078
1953-12-01,0.35100000000000003
1954-01-01,-0.036000000000000004
1954-02-01,-0.027000000000000003
1954-03-01,0.154
1954-04-01,-0.616
1954-05-01,-1.465
1954-06-01,-1.558
1954-07-01,-1.355
1954-08-01,-1.456
1954-09-01,-1.159
1954-10-01,-1.335
1954-11-01,-1.124
1954-12-01,-1.088
1955-01-01,-0.74
1955-02-01,-0.669
1955-03-01,-1.117
1955-04-01,-1.621
1955-05-01,-1.653
1955-06-01,-2.247
1955-07-01,-1.976
1955-08-01,-2.05
1955-09-01,-1.829
1955-10-01,-1.7380000000000002
1955-11-01,-1.821
1955-12-01,-1.8459999999999999
1956-01-01,-1.4080000000000001
1956-02-01,-1.275
1956-03-01,-1.371
1956-04-01,-1.216
1956-05-01,-1.304
1956-06-01,-1.5230000000000001
1956-07-01,-1.244
1956-08-01,-1.1179999999999999
1956-09-01,-1.35
1956-10-01,-1.4780000000000002
1956-11-01,-1.024
1956-12-01,-0.993
1957-01-01,-0.915
1957-02-01,-0.348
1957-03-01,0.10800000000000001
1957-04-01,0.38299999999999995
1957-05-01,0.813
1957-06-01,0.73
1957-07-01,0.9259999999999999
1957-08-01,1.1320000000000001
1957-09-01,1.117
1957-10-01,1.068
1957-11-01,1.138
1957-12-01,1.268
1958-01-01,1.473
1958-02-01,1.454
1958-03-01,1.3130000000000002
1958-04-01,0.991
1958-05-01,0.6729999999999999
1958-06-01,0.812
1958-07-01,0.7
1958-08-01,0.42100000000000004
1958-09-01,0.171
1958-10-01,0.203
1958-11-01,0.47600000000000003
1958-12-01,0.691
1959-01-01,0.5529999999999999
1959-02-01,0.81
1959-03-01,0.502
1959-04-01,0.20199999999999999
1959-05-01,-0.025
1959-06-01,-0.062
1959-07-01,-0.11199999999999999
1959-08-01,0.111
1959-09-01,0.092
1959-10-01,-0.071
1959-11-01,-0.17
1959-12-01,-0.247
1960-01-01,-0.287
1960-02-01,-0.253
1960-03-01,-0.08199999999999999
1960-04-01,0.006999999999999999
1960-05-01,-0.322
1960-06-01,-0.287
1960-07-01,-0.318
1960-08-01,-0.25
1960-09-01,-0.47
1960-10-01,-0.358
1960-11-01,-0.33
1960-12-01,-0.39
1961-01-01,-0.15
1961-02-01,-0.235
1961-03-01,-0.073
1961-04-01,0.017
1961-05-01,-0.302
1961-06-01,-0.185
1961-07-01,-0.20800000000000002
1961-08-01,-0.3
1961-09-01,-0.3
1961-10-01,-0.536
1961-11-01,-0.433
1961-12-01,-0.608
1962-01-01,-1.065
1962-02-01,-0.963
1962-03-01,-0.6920000000000001
1962-04-01,-1.04
1962-05-01,-0.89
1962-06-01,-0.87
1962-07-01,-0.6829999999999999
1962-08-01,-0.5379999999999999
1962-09-01,-0.56
1962-10-01,-0.6709999999999999
1962-11-01,-0.617
1962-12-01,-0.48200000000000004
1963-01-01,-0.718
1963-02-01,-0.8370000000000001
1963-03-01,-0.675
1963-04-01,-0.7609999999999999
1963-05-01,-0.473
1963-06-01,-0.14400000000000002
1963-07-01,0.40399999999999997
1963-08-01,0.59
1963-09-01,0.7340000000000001
1963-10-01,0.805
1963-11-01,0.8370000000000001
1963-12-01,0.765
1964-01-01,0.878
1964-02-01,0.48100000000000004
1964-03-01,-0.256
1964-04-01,-0.545
1964-05-01,-1.234
1964-06-01,-1.15
1964-07-01,-1.3840000000000001
1964-08-01,-1.486
1964-09-01,-1.3090000000000002
1964-10-01,-1.216
1964-11-01,-1.229
1964-12-01,-0.907
1965-01-01,-0.536
1965-02-01,-0.32899999999999996
1965-03-01,-0.259
1965-04-01,0.086
1965-05-01,0.46399999999999997
1965-06-01,0.867
1965-07-01,1.367
1965-08-01,1.425
1965-09-01,1.379
1965-10-01,1.202
1965-11-01,1.3430000000000002
1965-12-01,1.27
1966-01-01,1.307
1966-02-01,1.186
1966-03-01,0.6890000000000001
1966-04-01,0.515
1966-05-01,-0.17800000000000002
1966-06-01,-0.193
1966-07-01,-0.11599999999999999
1966-08-01,0.152
1966-09-01,-0.094
1966-10-01,-0.05
1966-11-01,-0.003
1966-12-01,-0.18100000000000002
1967-01-01,-0.462
1967-02-01,-0.898
1967-03-01,-1.05
1967-04-01,-1.03
1967-05-01,-0.44799999999999995
1967-06-01,-0.23600000000000002
1967-07-01,-0.49200000000000005
1967-08-01,-0.391
1967-09-01,-0.627
1967-10-01,-0.677
1967-11-01,-0.424
1967-12-01,-0.35700000000000004
1968-01-01,-0.602
1968-02-01,-0.727
1968-03-01,-0.635
1968-04-01,-0.9440000000000001
1968-05-01,-1.093
1968-06-01,-0.812
1968-07-01,-0.503
1968-08-01,-0.10400000000000001
1968-09-01,0.213
1968-10-01,0.424
1968-11-01,0.5820000000000001
1968-12-01,0.36700000000000005
1969-01-01,0.67
1969-02-01,0.8490000000000001
1969-03-01,0.45799999999999996
1969-04-01,0.622
1969-05-01,0.674
1969-06-01,0.8009999999999999
1969-07-01,0.49
1969-08-01,0.212
1969-09-01,0.162
1969-10-01,0.496
1969-11-01,0.659
1969-12-01,0.41700000000000004
1970-01-01,0.38
1970-02-01,0.43200000000000005
1970-03-01,0.228
1970-04-01,0.013999999999999999
1970-05-01,-0.099
1970-06-01,-0.636
1970-07-01,-1.055
1970-08-01,-1.0070000000000001
1970-09-01,-1.251
1970-10-01,-1.088
1970-11-01,-1.074
1970-12-01,-1.203
1971-01-01,-1.204
1971-02-01,-1.507
1971-03-01,-1.79
1971-04-01,-1.839
1971-05-01,-1.429
1971-06-01,-1.42
1971-07-01,-1.207
1971-08-01,-1.213
1971-09-01,-1.4669999999999999
1971-10-01,-1.415
1971-11-01,-1.311
1971-12-01,-0.9690000000000001
1972-01-01,-0.575
1972-02-01,-0.39799999999999996
1972-03-01,-0.256
1972-04-01,-0.166
1972-05-01,0.423
1972-06-01,0.966
1972-07-01,1.8259999999999998
1972-08-01,1.8
1972-09-01,1.5219999999999998
1972-10-01,1.617
1972-11-01,1.704
1972-12-01,1.787
1973-01-01,1.723
1973-02-01,1.515
1973-03-01,0.87
1973-04-01,0.491
1973-05-01,-0.099
1973-06-01,-0.758
1973-07-01,-1.056
1973-08-01,-1.334
1973-09-01,-1.734
1973-10-01,-1.66
1973-11-01,-1.489
1973-12-01,-1.8259999999999998
1974-01-01,-1.912
1974-02-01,-1.768
1974-03-01,-1.743
1974-04-01,-1.62
1974-05-01,-1.048
1974-06-01,-0.6940000000000001
1974-07-01,-0.75
1974-08-01,-0.664
1974-09-01,-0.628
1974-10-01,-1.05
1974-11-01,-1.24
1974-12-01,-0.8859999999999999
1975-01-01,-0.522
1975-02-01,-0.5760000000000001
1975-03-01,-0.85
1975-04-01,-0.927
1975-05-01,-0.838
1975-06-01,-1.148
1975-07-01,-1.4969999999999999
1975-08-01,-1.712
1975-09-01,-1.876
1975-10-01,-1.9780000000000002
1975-11-01,-1.756
1975-12-01,-1.732
1976-01-01,-1.587
1976-02-01,-1.3659999999999999
1976-03-01,-1.213
1976-04-01,-1.157
1976-05-01,-0.483
1976-06-01,0.276
1976-07-01,0.633
1976-08-01,0.654
1976-09-01,1.018
1976-10-01,0.927
1976-11-01,0.49
1976-12-01,0.565
1977-01-01,0.529
1977-02-01,0.29
1977-03-01,0.145
1977-04-01,0.552
1977-05-01,0.31
1977-06-01,0.414
1977-07-01,0.888
1977-08-01,0.684
1977-09-01,0.7829999999999999
1977-10-01,0.97
1977-11-01,0.9620000000000001
1977-12-01,0.877
1978-01-01,0.777
1978-02-01,0.912
1978-03-01,0.935
1978-04-01,0.19899999999999998
1978-05-01,-0.37799999999999995
1978-06-01,-0.605
1978-07-01,-0.42
1978-08-01,-0.19899999999999998
1978-09-01,-0.391
1978-10-01,-0.027999999999999997
1978-11-01,0.175
1978-12-01,0.406
1979-01-01,0.608
1979-02-01,0.379
1979-03-01,0.002
1979-04-01,0.301
1979-05-01,0.374
1979-06-01,0.429
1979-07-01,0.396
1979-08-01,0.615
1979-09-01,0.759
1979-10-01,0.655
1979-11-01,0.7340000000000001
1979-12-01,1.004
1980-01-01,0.677
1980-02-01,0.601
1980-03-01,0.684
1980-04-01,0.912
1980-05-01,0.958
