Optical Thickness in 15to20 km Level                                            
Year/Lat    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
1850 90.0 0.0040 0.0038 0.0036 0.0035 0.0033 0.0033 0.0031 0.0031 0.0030 0.0029 0.0028 0.0027
     82.2 0.0040 0.0038 0.0036 0.0035 0.0033 0.0032 0.0031 0.0031 0.0030 0.0029 0.0028 0.0027
     74.3 0.0039 0.0037 0.0035 0.0034 0.0033 0.0032 0.0030 0.0030 0.0029 0.0028 0.0027 0.0026
     66.5 0.0038 0.0037 0.0035 0.0034 0.0032 0.0031 0.0030 0.0030 0.0029 0.0028 0.0027 0.0026
     58.7 0.0038 0.0036 0.0034 0.0033 0.0032 0.0031 0.0029 0.0029 0.0028 0.0027 0.0027 0.0026
     50.9 0.0036 0.0035 0.0033 0.0032 0.0031 0.0030 0.0028 0.0028 0.0027 0.0026 0.0026 0.0025
     43.0 0.0034 0.0033 0.0031 0.0030 0.0029 0.0028 0.0026 0.0026 0.0026 0.0025 0.0024 0.0023
     35.2 0.0029 0.0028 0.0027 0.0026 0.0025 0.0024 0.0023 0.0023 0.0022 0.0021 0.0021 0.0020
     27.4 0.0020 0.0019 0.0018 0.0017 0.0016 0.0016 0.0015 0.0015 0.0015 0.0014 0.0014 0.0013
     19.6 0.0011 0.0011 0.0010 0.0010 0.0010 0.0009 0.0009 0.0009 0.0009 0.0008 0.0008 0.0008
     11.7 0.0008 0.0008 0.0008 0.0007 0.0007 0.0007 0.0006 0.0006 0.0006 0.0006 0.0006 0.0006
      3.9 0.0007 0.0007 0.0006 0.0006 0.0006 0.0006 0.0005 0.0005 0.0005 0.0005 0.0005 0.0005
     -3.9 0.0008 0.0007 0.0007 0.0007 0.0006 0.0006 0.0006 0.0006 0.0006 0.0005 0.0005 0.0005
    -11.7 0.0009 0.0009 0.0008 0.0008 0.0008 0.0008 0.0007 0.0007 0.0007 0.0007 0.0007 0.0006
    -19.6 0.0012 0.0012 0.0011 0.0011 0.0010 0.0010 0.0009 0.0009 0.0009 0.0009 0.0009 0.0008
    -27.4 0.0018 0.0017 0.0016 0.0016 0.0015 0.0015 0.0014 0.0014 0.0014 0.0013 0.0013 0.0012
    -35.2 0.0026 0.0025 0.0024 0.0023 0.0022 0.0021 0.0020 0.0020 0.0020 0.0019 0.0019 0.0018
    -43.0 0.0033 0.0031 0.0030 0.0029 0.0027 0.0027 0.0025 0.0025 0.0024 0.0024 0.0023 0.0022
