,jdate,mean,anamoly,date
0,2441148.0,309.133,-20.552,1971-07-01
1,2441179.0,313.018,-1.423,1971-08-01
2,2441210.0,294.759,1.5730000000000002,1971-09-01
3,2441240.0,266.01,-17.902,1971-10-01
4,2441271.0,292.993,3.6830000000000003,1971-11-01
5,2441301.0,299.65,-3.6430000000000002,1971-12-01
6,2441332.0,349.037,19.383,1972-01-01
7,2441363.0,356.645,2.6889999999999996,1972-02-01
8,2441392.0,374.305,10.895,1972-03-01
9,2441423.0,369.926,-1.771,1972-04-01
10,2441453.0,370.08,9.56,1972-05-01
11,2441484.0,364.59,20.448,1972-06-01
12,2441514.0,338.4,8.714,1972-07-01
13,2441545.0,308.814,-5.627000000000001,1972-08-01
14,2441576.0,303.04,9.854,1972-09-01
15,2441606.0,281.88599999999997,-2.026,1972-10-01
16,2441637.0,283.04400000000004,-6.266,1972-11-01
17,2441667.0,305.547,2.254,1972-12-01
18,2441698.0,331.967,2.312,1973-01-01
19,2441729.0,367.88300000000004,13.927,1973-02-01
20,2441757.0,347.543,-15.867,1973-03-01
21,2441788.0,417.35,45.652,1973-04-01
22,2441818.0,369.5,8.98,1973-05-01
23,2441849.0,342.535,-1.608,1973-06-01
24,2441879.0,339.722,10.037,1973-07-01
25,2441910.0,312.41900000000004,-2.022,1973-08-01
26,2441941.0,282.358,-10.828,1973-09-01
27,2441971.0,288.753,4.841,1973-10-01
28,2442002.0,272.613,-16.698,1973-11-01
29,2442032.0,300.283,-3.009,1973-12-01
30,2442063.0,352.23900000000003,22.584,1974-01-01
31,2442094.0,350.327,-3.63,1974-02-01
32,2442122.0,346.1,-17.31,1974-03-01
33,2442153.0,368.458,-3.24,1974-04-01
34,2442183.0,366.655,6.135,1974-05-01
35,2442214.0,357.13300000000004,12.991,1974-06-01
36,2442244.0,332.278,2.593,1974-07-01
37,2442275.0,311.157,-3.284,1974-08-01
38,2442306.0,288.716,-4.47,1974-09-01
39,2442336.0,322.068,38.156,1974-10-01
40,2442367.0,310.659,21.349,1974-11-01
41,2442397.0,290.415,-12.877,1974-12-01
42,2442428.0,313.158,-16.496,1975-01-01
43,2442459.0,321.415,-32.541,1975-02-01
44,2442487.0,380.589,17.179000000000002,1975-03-01
45,2442518.0,375.457,3.76,1975-04-01
46,2442548.0,356.43699999999995,-4.084,1975-05-01
47,2442579.0,349.186,5.043,1975-06-01
48,2442609.0,322.153,-7.5329999999999995,1975-07-01
49,2442640.0,304.21,-10.231,1975-08-01
50,2442671.0,291.218,-1.9680000000000002,1975-09-01
51,2442701.0,273.055,-10.857000000000001,1975-10-01
52,2442732.0,293.031,3.721,1975-11-01
53,2442762.0,284.078,-19.215,1975-12-01
54,2442793.0,330.87199999999996,1.218,1976-01-01
55,2442824.0,324.089,-29.868000000000002,1976-02-01
56,2442853.0,342.787,-20.623,1976-03-01
57,2442884.0,362.93,-8.767999999999999,1976-04-01
58,2442914.0,346.959,-13.562000000000001,1976-05-01
59,2442945.0,331.652,-12.49,1976-06-01
60,2442975.0,317.406,-12.279000000000002,1976-07-01
61,2443006.0,317.61400000000003,3.173,1976-08-01
62,2443037.0,302.10900000000004,8.923,1976-09-01
63,2443067.0,268.633,-15.279000000000002,1976-10-01
64,2443098.0,266.621,-22.689,1976-11-01
65,2443128.0,311.806,8.513,1976-12-01
66,2443159.0,349.106,19.452,1977-01-01
67,2443190.0,387.32,33.364000000000004,1977-02-01
68,2443218.0,360.56699999999995,-2.843,1977-03-01
69,2443249.0,380.275,8.577,1977-04-01
70,2443279.0,373.911,13.390999999999998,1977-05-01
71,2443310.0,357.68,13.537,1977-06-01
72,2443340.0,334.311,4.626,1977-07-01
73,2443371.0,321.768,7.327000000000001,1977-08-01
74,2443402.0,288.732,-4.454,1977-09-01
75,2443432.0,263.73,-20.182000000000002,1977-10-01
76,2443463.0,292.536,3.225,1977-11-01
77,2443493.0,312.85,9.557,1977-12-01
78,2443524.0,354.935,25.281,1978-01-01
79,2443555.0,366.85900000000004,12.902000000000001,1978-02-01
80,2443583.0,348.8,-14.61,1978-03-01
81,2443614.0,391.772,20.075,1978-04-01
82,2443644.0,372.153,11.632,1978-05-01
83,2443675.0,356.406,12.263,1978-06-01
84,2443705.0,380.7,51.013999999999996,1978-07-01
85,2443767.0,272.531,-20.655,1978-09-01
86,2443797.0,273.05,-10.862,1978-10-01
87,2443828.0,277.82099999999997,-11.489,1978-11-01
88,2443858.0,298.665,-4.628,1978-12-01
89,2443889.0,346.865,17.21,1979-01-01
90,2443920.0,376.81,22.853,1979-02-01
91,2443948.0,407.621,44.211000000000006,1979-03-01
92,2443979.0,415.494,43.79600000000001,1979-04-01
93,2444009.0,377.595,17.075,1979-05-01
94,2444040.0,350.585,6.442,1979-06-01
95,2444070.0,340.536,10.850999999999999,1979-07-01
96,2444101.0,310.36400000000003,-4.077,1979-08-01
97,2444132.0,284.538,-8.648,1979-09-01
98,2444162.0,283.09,-0.8220000000000001,1979-10-01
99,2444193.0,282.444,-6.8660000000000005,1979-11-01
100,2444223.0,335.98800000000006,32.695,1979-12-01
101,2444254.0,330.161,0.507,1980-01-01
102,2444285.0,336.42,-17.535999999999998,1980-02-01
103,2444314.0,372.16,8.75,1980-03-01
104,2444345.0,396.548,24.85,1980-04-01
105,2444375.0,397.756,37.235,1980-05-01
106,2444406.0,366.162,22.019000000000002,1980-06-01
107,2444436.0,317.1,-12.585999999999999,1980-07-01
108,2444467.0,304.02,-10.421,1980-08-01
109,2444528.0,329.1,45.188,1980-10-01
110,2444559.0,297.065,7.754,1980-11-01
111,2444589.0,318.878,15.585,1980-12-01
112,2444620.0,321.564,-8.09,1981-01-01
113,2444651.0,368.98900000000003,15.032,1981-02-01
114,2444679.0,364.92199999999997,1.5130000000000001,1981-03-01
115,2444710.0,380.62300000000005,8.925,1981-04-01
116,2444740.0,368.041,7.521,1981-05-01
117,2444771.0,345.259,1.117,1981-06-01
118,2444801.0,337.12699999999995,7.441,1981-07-01
119,2444832.0,310.15,-4.291,1981-08-01
120,2444863.0,299.045,5.859,1981-09-01
121,2444893.0,310.643,26.730999999999998,1981-10-01
122,2444924.0,277.265,-12.046,1981-11-01
123,2444954.0,333.171,29.879,1981-12-01
124,2444985.0,356.70599999999996,27.051,1982-01-01
125,2445016.0,381.445,27.489,1982-02-01
126,2445044.0,407.75,44.34,1982-03-01
127,2445075.0,373.57,1.8719999999999999,1982-04-01
128,2445105.0,372.689,12.168,1982-05-01
129,2445136.0,355.37800000000004,11.235999999999999,1982-06-01
130,2445166.0,331.9,2.214,1982-07-01
131,2445197.0,329.296,14.855,1982-08-01
132,2445228.0,289.748,-3.438,1982-09-01
133,2445258.0,288.586,4.6739999999999995,1982-10-01
134,2445289.0,272.61,-16.7,1982-11-01
135,2445319.0,284.453,-18.84,1982-12-01
136,2445350.0,298.635,-31.019000000000002,1983-01-01
137,2445381.0,336.85699999999997,-17.099,1983-02-01
138,2445409.0,338.80400000000003,-24.605,1983-03-01
139,2445440.0,379.341,7.643,1983-04-01
140,2445470.0,380.95,20.43,1983-05-01
141,2445501.0,336.282,-7.861000000000001,1983-06-01
142,2445531.0,321.323,-8.362,1983-07-01
143,2445562.0,318.925,4.484,1983-08-01
144,2445593.0,287.7,-5.486000000000001,1983-09-01
145,2445623.0,275.159,-8.753,1983-10-01
146,2445654.0,263.732,-25.578000000000003,1983-11-01
147,2445684.0,298.735,-4.558,1983-12-01
148,2445715.0,358.094,28.44,1984-01-01
149,2445746.0,344.4,-9.556000000000001,1984-02-01
150,2445775.0,385.75699999999995,22.346999999999998,1984-03-01
151,2445806.0,369.98800000000006,-1.709,1984-04-01
152,2445836.0,397.00699999999995,36.486999999999995,1984-05-01
153,2445867.0,355.30699999999996,11.165,1984-06-01
